,VRNT
% Above Low,0.20800000000000002
% Held by Institutions,1.0165
52-Wk Range,['31.63 - 56.39']
Annual Dividend $,
Annual Dividend %,
Ask,38.62
Ask Size,100.0
B/A Ratio,1.0
B/A Size,100x100
Beta,1.0
Bid,37.88
Bid Size,100.0
Closing Price,38.21
Day Change $,-0.55
Day Change %,-0.014199999999999999
Day High,38.96
Day Low,38.03
Dividend Pay Date,No dividend
"EPS (TTM, GAAP)",-0.22
Ex-dividend Date,No dividend
Historical Volatility,0.326
Last (size),766.0
Last (time),3:59p ET 11/28/22
Market Cap,2.5B
Market Edge Opinion:,Neutral From Avoid
"P/E Ratio (TTM, GAAP)",
Prev Close,38.76
Short Interest,0.0463
Today's Open,38.43
Volume,418186.0
Volume 10-day Avg,331014.0
Volume Past Day,(Heavy Day)
Next Earnings Announcement,2022-12-07 00:00:00
Growth Analysts,9.0
Growth 1yr Low Est,0.08444444444444432
Growth 1yr High Est,0.03734439834024883
Growth 1yr Consensus Est,0.060894421392346576
Growth 2yr Low Est,0.07091074681238607
Growth 2yr High Est,0.08267219917012436
Growth 2yr Consensus Est,0.07679147299125522
Growth 5yr Low Est,-0.05958594890785654
Growth 5yr High Est,-0.04404641407613999
Growth 5yr Consensus Est,-0.051816181491998264
Growth 5yr Actual/Est,-0.04081465682356672
Growth 3yr Historic,-0.09097028783658312
Price/Earnings (TTM),
Price/Sales (TTM),2.80892
Price/Book (MRQ),3.02329
Price/Cash Flow (TTM),42.18944
5yr Low,31.63
5yr High,77.7
5yr Avg Return,-0.0001333333333333364
EPS Growth 5yr,
Revenue Growth 5yr,-0.0381236
Dividend Growth 5yr,
Short Int Current Month,2897240.0
Short Int Prev Month,3217099.0
Short Int Pct of Float,0.0463126
Days to Cover,6.99414
Float,62.55831
Shares Outstanding,65.20751
Institutions Holding Shares,320.0
FCF Growth 5yr,0.15924699807728945
"Price/Earnings (TTM, GAAP)",
"PEG Ratio (TTM, GAAP)",
Gross Profit Margin (TTM),0.6605
Operating Profit Margin (TTM),0.0365
Net Profit Margin (TTM),0.0084
Annual Dividend Yield,
Dividend Change %,
"Dividend Growth Rate, 3 Years",
EPS Growth (MRQ),-0.5488000000000001
EPS Growth (TTM),0.5631
Revenue Growth (MRQ),0.0229
Revenue Growth (TTM),0.0514
Return On Equity (TTM),-0.0161
Return On Assets (TTM),0.0034000000000000002
Return On Investment (TTM),0.0042
Revenue Per Employee (TTM),204498.0
Total Debt/Total Capital (MRQ),0.24239999999999998
Change in Debt/Total Capital Quarter over Quarter,0.0006
Quick Ratio (MRQ),1.3
Interest Coverage (MRQ),7.96
researchTeam,rating-box
theStreet,rating-box
newConstructs,rating-box
ford,rating-box
cfra,
marketEdge opinion,
researchTeam since,2021-08-06 00:00:00
theStreet since,2022-04-13 00:00:00
newConstructs since,2022-11-26 00:00:00
ford since,2021-04-01 00:00:00
cfra since,
marketEdge opinion since,
