,PRO,Industry,Type,Ratio to Industry
"Price/Earnings (TTM, GAAP)",,54.08,Valuation,
Price/Sales (TTM),3.88,9.39,Valuation,0.41320553780617675
Price/Book (MRQ),,12.63,Valuation,
"PEG Ratio (TTM, GAAP)",,1.92,Valuation,
Gross Profit Margin (TTM),0.5981000000000001,0.7206,Profitability,0.8300027754648904
Operating Profit Margin (TTM),-0.3141,0.2172,Profitability,-1.4461325966850829
Net Profit Margin (TTM),-0.3276,0.1553,Profitability,-2.109465550547328
Annual Dividend Yield,,0.006999999999999999,Dividend,
Dividend Change %,,0.07940000000000001,Dividend,
"Dividend Growth Rate, 3 Years",,0.0703,Dividend,
EPS Growth (MRQ),0.383,-0.0752,Gowth rates,-5.093085106382978
EPS Growth (TTM),-0.1451,-0.2824,Gowth rates,0.5138101983002833
Revenue Growth (MRQ),0.0291,0.15560000000000002,Gowth rates,0.1870179948586118
Revenue Growth (TTM),0.0925,0.1906,Gowth rates,0.48530954879328436
Return On Equity (TTM),,0.2189,Effectiveness,
Return On Assets (TTM),-0.184,0.10740000000000001,Effectiveness,-1.7132216014897577
Return On Investment (TTM),-0.2715,0.1387,Effectiveness,-1.95746214852199
Revenue Per Employee (TTM),174871.0,667721.0,Effectiveness,0.26189231730018975
Total Debt/Total Capital (MRQ),1.1058000000000001,0.39659999999999995,Financial strength,2.78819969742814
Change in Debt/Total Capital Quarter over Quarter,0.0009,0.0004,Financial strength,2.25
Quick Ratio (MRQ),,1.0,Financial strength,
Interest Coverage (MRQ),-10.27,0.28,Financial strength,-36.67857142857142
