,INGN,Industry,Type,Ratio to Industry
"Price/Earnings (TTM, GAAP)",,61.36,Valuation,
Price/Sales (TTM),1.45,9.8,Valuation,0.14795918367346939
Price/Book (MRQ),1.51,10.31,Valuation,0.14645974781765275
"PEG Ratio (TTM, GAAP)",,3.02,Valuation,
Gross Profit Margin (TTM),0.4449,0.6196,Profitability,0.7180438992898645
Operating Profit Margin (TTM),-0.09140000000000001,0.047,Profitability,-1.94468085106383
Net Profit Margin (TTM),-0.1369,0.009300000000000001,Profitability,-14.72043010752688
Annual Dividend Yield,,0.0095,Dividend,
Dividend Change %,,0.0679,Dividend,
"Dividend Growth Rate, 3 Years",,0.0524,Dividend,
EPS Growth (MRQ),-1.7572,-0.4858,Gowth rates,3.6171263894606835
EPS Growth (TTM),-5.4823,-0.2029,Gowth rates,27.019714144898966
Revenue Growth (MRQ),0.0195,0.1161,Gowth rates,0.16795865633074936
Revenue Growth (TTM),0.0281,0.18300000000000002,Gowth rates,0.153551912568306
Return On Equity (TTM),-0.1349,0.1068,Effectiveness,-1.2631086142322097
Return On Assets (TTM),-0.10189999999999999,0.0622,Effectiveness,-1.6382636655948553
Return On Investment (TTM),-0.1168,0.0732,Effectiveness,-1.5956284153005464
Revenue Per Employee (TTM),358034.0,403586.0,Effectiveness,0.8871318628495537
Total Debt/Total Capital (MRQ),0.0,0.3161,Financial strength,0.0
Change in Debt/Total Capital Quarter over Quarter,,0.0125,Financial strength,
Quick Ratio (MRQ),4.29,2.25,Financial strength,1.9066666666666667
Interest Coverage (MRQ),,14.99,Financial strength,
