,INGN
% Above Low,0.1858
% Held by Institutions,0.9909
52-Wk Range,['19.48 - 36.30']
Annual Dividend $,
Annual Dividend %,
Ask,33.71
Ask Size,300.0
B/A Ratio,6.666666666666667
B/A Size,2000x300
Beta,0.9
Bid,19.54
Bid Size,2000.0
Closing Price,23.1
Day Change $,-0.2
Day Change %,-0.0086
Day High,23.38
Day Low,22.95
Dividend Pay Date,No dividend
"EPS (TTM, GAAP)",-2.2
Ex-dividend Date,No dividend
Historical Volatility,0.489
Last (size),11.0
Last (time),12:59p ET 11/25/22
Market Cap,530.6M
Market Edge Opinion:,Neutral From Avoid
"P/E Ratio (TTM, GAAP)",
Prev Close,23.3
Short Interest,0.036699999999999997
Today's Open,23.38
Volume,28540.0
Volume 10-day Avg,142206.0
Volume Past Day,(Light)
Next Earnings Announcement,2023-02-23 00:00:00
Growth Analysts,5.0
Growth 1yr Low Est,
Growth 1yr High Est,
Growth 1yr Consensus Est,
Growth 2yr Low Est,-0.13227513227513232
Growth 2yr High Est,-0.4695121951219512
Growth 2yr Consensus Est,-0.30089366369854176
Growth 5yr Low Est,-0.13227513227513232
Growth 5yr High Est,-0.4695121951219512
Growth 5yr Consensus Est,-0.30089366369854176
Growth 5yr Actual/Est,0.9378565927768054
Growth 3yr Historic,-0.3125492513790386
Price/Earnings (TTM),
Price/Sales (TTM),1.44842
Price/Book (MRQ),1.50908
Price/Cash Flow (TTM),
5yr Low,19.48
5yr High,287.79
5yr Avg Return,-0.22861666666666663
EPS Growth 5yr,
Revenue Growth 5yr,0.1203438
Dividend Growth 5yr,
Short Int Current Month,827119.0
Short Int Prev Month,901344.0
Short Int Pct of Float,0.0367131
Days to Cover,3.36791
Float,22.53191
Shares Outstanding,22.921
Institutions Holding Shares,211.0
FCF Growth 5yr,16.960622064025745
"Price/Earnings (TTM, GAAP)",
"PEG Ratio (TTM, GAAP)",
Gross Profit Margin (TTM),0.4449
Operating Profit Margin (TTM),-0.09140000000000001
Net Profit Margin (TTM),-0.1369
Annual Dividend Yield,
Dividend Change %,
"Dividend Growth Rate, 3 Years",
EPS Growth (MRQ),-1.7572
EPS Growth (TTM),-5.4823
Revenue Growth (MRQ),0.0195
Revenue Growth (TTM),0.0281
Return On Equity (TTM),-0.1349
Return On Assets (TTM),-0.10189999999999999
Return On Investment (TTM),-0.1168
Revenue Per Employee (TTM),358034.0
Total Debt/Total Capital (MRQ),0.0
Change in Debt/Total Capital Quarter over Quarter,
Quick Ratio (MRQ),4.29
Interest Coverage (MRQ),
theStreet,rating-box
researchTeam,rating-box
newConstructs,rating-box
ford,rating-box
cfra,
marketEdge opinion,
theStreet since,2022-03-14 00:00:00
researchTeam since,2021-08-20 00:00:00
newConstructs since,2022-11-26 00:00:00
ford since,2022-09-23 00:00:00
cfra since,
marketEdge opinion since,
