,LZB,Industry,Type,Ratio to Industry
"Price/Earnings (TTM, GAAP)",7.05,7.14,Valuation,0.9873949579831933
Price/Sales (TTM),0.47,7.33,Valuation,0.06412005457025921
Price/Book (MRQ),1.37,2.07,Valuation,0.6618357487922706
"PEG Ratio (TTM, GAAP)",,0.43,Valuation,
Gross Profit Margin (TTM),0.3922,0.3091,Profitability,1.2688450339695891
Operating Profit Margin (TTM),0.09240000000000001,0.1507,Profitability,0.6131386861313869
Net Profit Margin (TTM),0.0681,0.11320000000000001,Profitability,0.6015901060070671
Annual Dividend Yield,0.024900000000000002,0.016399999999999998,Dividend,1.5182926829268295
Dividend Change %,0.75,0.2639,Dividend,2.84198560060629
"Dividend Growth Rate, 3 Years",0.0801,0.1757,Dividend,0.45589072282299375
EPS Growth (MRQ),-0.3285,-0.0688,Gowth rates,4.774709302325582
EPS Growth (TTM),0.37670000000000003,0.16670000000000001,Gowth rates,2.259748050389922
Revenue Growth (MRQ),-0.1176,0.1173,Gowth rates,-1.0025575447570332
Revenue Growth (TTM),0.23440000000000003,0.149,Gowth rates,1.5731543624161075
Return On Equity (TTM),0.2061,0.38439999999999996,Effectiveness,0.5361602497398544
Return On Assets (TTM),0.08900000000000001,0.135,Effectiveness,0.6592592592592593
Return On Investment (TTM),0.13720000000000002,0.1699,Effectiveness,0.8075338434373162
Revenue Per Employee (TTM),190322.0,1633986.0,Effectiveness,0.11647713015900993
Total Debt/Total Capital (MRQ),0.0,0.29309999999999997,Financial strength,0.0
Change in Debt/Total Capital Quarter over Quarter,,-0.0005,Financial strength,
Quick Ratio (MRQ),0.92,0.53,Financial strength,1.7358490566037736
Interest Coverage (MRQ),,51.09,Financial strength,
