,CAL
% Below High,0.212
% Held by Institutions,0.8903
52-Wk Range,['17.82 - 31.13']
Annual Dividend $,0.28
Annual Dividend %,0.011399999999999999
Ask,25.2
Ask Size,200.0
B/A Ratio,0.5
B/A Size,100x200
Beta,1.7
Bid,12.0
Bid Size,100.0
Closing Price,24.53
Day Change $,-0.3
Day Change %,-0.0121
Day High,25.24
Day Low,24.45
Dividend Pay Date,2022-09-30 00:00:00
"EPS (TTM, GAAP)",4.72
Ex-dividend,2022-09-08 00:00:00
Ex-dividend Date,09/08/22
Historical Volatility,0.6020000000000001
Last (size),17.0
Last (time),5:00p ET 11/25/22
Market Cap,895.6M
"P/E Ratio (TTM, GAAP)",5.2
Prev Close,24.83
Short Interest,0.0587
Today's Open,24.83
Volume,575498.0
Volume 10-day Avg,604271.0
Volume Past Day,(Average)
Next Earnings Announcement,2023-03-14 00:00:00
Growth Analysts,3.0
Growth 1yr Low Est,1.1897435897435895
Growth 1yr High Est,0.8884120171673822
Growth 1yr Consensus Est,1.039077803455486
Growth 2yr Low Est,0.5808202726235513
Growth 2yr High Est,0.4896605540382365
Growth 2yr Consensus Est,0.5352404133308939
Growth 5yr Low Est,0.29041013631177565
Growth 5yr High Est,0.24483027701911825
Growth 5yr Consensus Est,0.26762020666544695
Growth 5yr Actual/Est,-1.4159729127685248
Growth 3yr Historic,-1.4327380952380953
Price/Earnings (TTM),5.19761
Price/Sales (TTM),0.30311
Price/Book (MRQ),2.2449
Price/Cash Flow (TTM),5.17985
5yr Low,3.12
5yr High,41.09
5yr Avg Return,-0.0050499999999999955
EPS Growth 5yr,0.18628329999999999
Revenue Growth 5yr,0.014917499999999998
Dividend Growth 5yr,0.0
Short Int Current Month,2038049.0
Short Int Prev Month,2170882.0
Short Int Pct of Float,0.058702199999999996
Days to Cover,5.24312
Float,34.97284
Shares Outstanding,36.46418
Institutions Holding Shares,281.0
FCF Growth 5yr,-0.6668456747844309
"Price/Earnings (TTM, GAAP)",5.2
"PEG Ratio (TTM, GAAP)",
Gross Profit Margin (TTM),0.44
Operating Profit Margin (TTM),0.0786
Net Profit Margin (TTM),0.0591
Annual Dividend Yield,0.011399999999999999
Dividend Change %,0.0
"Dividend Growth Rate, 3 Years",0.0
EPS Growth (MRQ),-0.23579999999999998
EPS Growth (TTM),8.1351
Revenue Growth (MRQ),0.0812
Revenue Growth (TTM),0.10550000000000001
Return On Equity (TTM),0.47909999999999997
Return On Assets (TTM),0.0913
Return On Investment (TTM),0.20500000000000002
Revenue Per Employee (TTM),567497.0
Total Debt/Total Capital (MRQ),0.47340000000000004
Change in Debt/Total Capital Quarter over Quarter,0.0028000000000000004
Quick Ratio (MRQ),0.26
Interest Coverage (MRQ),14.18
researchTeam,rating-box
ford,rating-box
newConstructs,rating-box
cfra,
theStreet,rating-box
marketEdge opinion,
researchTeam since,2022-08-29 00:00:00
ford since,2022-09-30 00:00:00
newConstructs since,2022-11-25 00:00:00
cfra since,
theStreet since,2022-08-29 00:00:00
marketEdge opinion since,
