,CAL,Industry,Type,Ratio to Industry
"Price/Earnings (TTM, GAAP)",5.2,19.03,Valuation,0.27325275880189176
Price/Sales (TTM),0.3,1.93,Valuation,0.15544041450777202
Price/Book (MRQ),2.24,92.12,Valuation,0.0243161094224924
"PEG Ratio (TTM, GAAP)",,7.27,Valuation,
Gross Profit Margin (TTM),0.44,0.34390000000000004,Profitability,1.279441698168072
Operating Profit Margin (TTM),0.0786,0.11789999999999999,Profitability,0.6666666666666667
Net Profit Margin (TTM),0.0591,0.0818,Profitability,0.7224938875305623
Annual Dividend Yield,0.011399999999999999,0.016200000000000003,Dividend,0.7037037037037035
Dividend Change %,0.0,0.2582,Dividend,0.0
"Dividend Growth Rate, 3 Years",0.0,0.09390000000000001,Dividend,0.0
EPS Growth (MRQ),-0.23579999999999998,-0.10800000000000001,Gowth rates,2.183333333333333
EPS Growth (TTM),8.1351,0.0262,Gowth rates,310.49999999999994
Revenue Growth (MRQ),0.0812,0.0478,Gowth rates,1.6987447698744769
Revenue Growth (TTM),0.10550000000000001,0.0874,Gowth rates,1.2070938215102975
Return On Equity (TTM),0.47909999999999997,5.2054,Effectiveness,0.09203903638529219
Return On Assets (TTM),0.0913,0.1562,Effectiveness,0.5845070422535211
Return On Investment (TTM),0.20500000000000002,0.26,Effectiveness,0.7884615384615385
Revenue Per Employee (TTM),567497.0,410011.0,Effectiveness,1.384101889949294
Total Debt/Total Capital (MRQ),0.47340000000000004,0.8926999999999999,Financial strength,0.5303013330346141
Change in Debt/Total Capital Quarter over Quarter,0.0028000000000000004,0.0016,Financial strength,1.7500000000000002
Quick Ratio (MRQ),0.26,0.39,Financial strength,0.6666666666666666
Interest Coverage (MRQ),14.18,13.36,Financial strength,1.061377245508982
