,VMEO
% Above Low,0.1814
% Held by Institutions,0.8925
52-Wk Range,['3.34 - 20.20']
Annual Dividend $,
Annual Dividend %,
Ask,3.94
Ask Size,15600.0
B/A Ratio,0.01282051282051282
B/A Size,200x15600
Beta,
Bid,3.85
Bid Size,200.0
Closing Price,3.94
Day Change $,-0.19
Day Change %,-0.046
Day High,4.17
Day Low,3.92
Dividend Pay Date,No dividend
"EPS (TTM, GAAP)",-0.61
Ex-dividend Date,No dividend
Historical Volatility,0.7240000000000001
Last (size),100.0
Last (time),4:00p ET 11/28/22
Market Cap,692.6M
"P/E Ratio (TTM, GAAP)",
Prev Close,4.13
Short Interest,0.0373
Today's Open,4.04
Volume,1429438.0
Volume 10-day Avg,1893630.0
Volume Past Day,(Light)
Next Earnings Announcement,2023-02-08 00:00:00
Growth Analysts,8.0
Growth 1yr Low Est,
Growth 1yr High Est,
Growth 1yr Consensus Est,
Growth 2yr Low Est,-0.08064516129032262
Growth 2yr High Est,-0.23728813559322026
Growth 2yr Consensus Est,-0.15896664844177144
Growth 5yr Low Est,-0.08064516129032262
Growth 5yr High Est,-0.23728813559322026
Growth 5yr Consensus Est,-0.15896664844177144
Growth 5yr Actual/Est,0.3422752111276701
Growth 3yr Historic,0.0
Price/Earnings (TTM),
Price/Sales (TTM),1.58543
Price/Book (MRQ),1.98169
Price/Cash Flow (TTM),
5yr Low,3.34
5yr High,58.0
5yr Avg Return,-0.7281
Short Int Current Month,5575536.0
Short Int Prev Month,7846798.0
Short Int Pct of Float,0.037292900000000004
Days to Cover,1.70533
Float,149.5223
Shares Outstanding,166.4444
Institutions Holding Shares,319.0
FCF Growth 5yr,-0.7165634163043212
EPS Growth 5yr,
Revenue Growth 5yr,
Dividend Growth 5yr,
"Price/Earnings (TTM, GAAP)",
"PEG Ratio (TTM, GAAP)",
Gross Profit Margin (TTM),0.7567
Operating Profit Margin (TTM),-0.23070000000000002
Net Profit Margin (TTM),-0.22719999999999999
Annual Dividend Yield,
Dividend Change %,
"Dividend Growth Rate, 3 Years",
EPS Growth (MRQ),0.1923
EPS Growth (TTM),-1.8763999999999998
Revenue Growth (MRQ),-0.0256
Revenue Growth (TTM),0.1739
Return On Equity (TTM),-0.2713
Return On Assets (TTM),-0.1608
Return On Investment (TTM),-0.26170000000000004
Revenue Per Employee (TTM),355688.0
Total Debt/Total Capital (MRQ),0.0
Change in Debt/Total Capital Quarter over Quarter,
Quick Ratio (MRQ),
Interest Coverage (MRQ),-184.53
researchTeam,rating-box
theStreet,rating-box
ford,rating-box
cfra,
newConstructs,rating-box
marketEdge opinion,
researchTeam since,2022-11-07 00:00:00
theStreet since,2022-11-07 00:00:00
ford since,2022-07-29 00:00:00
cfra since,
newConstructs since,
marketEdge opinion since,
