,VMEO,Industry,Type,Ratio to Industry
"Price/Earnings (TTM, GAAP)",,18.12,Valuation,
Price/Sales (TTM),1.59,4.52,Valuation,0.3517699115044248
Price/Book (MRQ),1.98,5.02,Valuation,0.39442231075697215
"PEG Ratio (TTM, GAAP)",,8.0,Valuation,
Gross Profit Margin (TTM),0.7567,0.6097,Profitability,1.2411021814006888
Operating Profit Margin (TTM),-0.23070000000000002,0.24480000000000002,Profitability,-0.9424019607843137
Net Profit Margin (TTM),-0.22719999999999999,0.1981,Profitability,-1.1468955073195355
Annual Dividend Yield,,0.0001,Dividend,
Dividend Change %,,0.0003,Dividend,
"Dividend Growth Rate, 3 Years",,,Dividend,
EPS Growth (MRQ),0.1923,-0.2712,Gowth rates,-0.709070796460177
EPS Growth (TTM),-1.8763999999999998,-0.0227,Gowth rates,82.66079295154184
Revenue Growth (MRQ),-0.0256,0.7634000000000001,Gowth rates,-0.03353418915378569
Revenue Growth (TTM),0.1739,1.7572999999999999,Gowth rates,0.09895862971604166
Return On Equity (TTM),-0.2713,0.2407,Effectiveness,-1.1271292064810967
Return On Assets (TTM),-0.1608,0.16899999999999998,Effectiveness,-0.9514792899408285
Return On Investment (TTM),-0.26170000000000004,0.20510000000000003,Effectiveness,-1.2759629449049243
Revenue Per Employee (TTM),355688.0,1707732.0,Effectiveness,0.20828092464157139
Total Debt/Total Capital (MRQ),0.0,0.0821,Financial strength,0.0
Change in Debt/Total Capital Quarter over Quarter,,0.028999999999999998,Financial strength,
Quick Ratio (MRQ),,1.88,Financial strength,
Interest Coverage (MRQ),-184.53,29.8,Financial strength,-6.19228187919463
