,TILE
% Above Low,0.1955
% Held by Institutions,0.9490999999999999
52-Wk Range,['8.90 - 16.61']
Annual Dividend $,0.04
Annual Dividend %,0.0036
Ask,11.07
Ask Size,100.0
Ask close,13.18
B/A Ratio,2.0
B/A Size,200x100
Beta,1.8
Bid,10.62
Bid Size,200.0
Bid close,8.31
Change Since Close,0.00| |(0.00%)
Closing Price,10.64
Day Change $,-0.41
Day Change %,-0.0371
Day High,10.98
Day Low,10.55
Dividend Pay Date,2022-12-16 00:00:00
"EPS (TTM, GAAP)",1.1
Ex-dividend,2022-12-01 00:00:00
Ex-dividend Date,12/01/22
Historical Volatility,0.456
Last (size),4300.0
Last (time),4:00p ET 11/28/22
Last Trade,10.64
Market Cap,618.9M
Market Edge Opinion:,Long
"P/E Ratio (TTM, GAAP)",10.0
Prev Close,11.05
Short Interest,0.0118
Today's Open,10.98
Volume,127538.0
Volume 10-day Avg,145732.0
Volume Past Day,(Below Average)
Next Earnings Announcement,2023-03-03 00:00:00
Growth Analysts,4.0
Growth 1yr Low Est,0.072072072072072
Growth 1yr High Est,0.1150442477876108
Growth 1yr Consensus Est,0.0935581599298414
Growth 2yr Low Est,0.12427133015368308
Growth 2yr High Est,0.15276021913190063
Growth 2yr Consensus Est,0.13851577464279186
Growth 5yr Low Est,-0.0052985454494742235
Growth 5yr High Est,0.00982166800750875
Growth 5yr Consensus Est,0.002261561279017263
Growth 5yr Actual/Est,-0.006269349380183198
Growth 3yr Historic,-0.05179108558928083
Price/Earnings (TTM),10.00498
Price/Sales (TTM),0.49368
Price/Book (MRQ),2.00667
Price/Cash Flow (TTM),5.98945
5yr Low,5.06
5yr High,26.25
5yr Avg Return,-0.07794999999999999
EPS Growth 5yr,0.024092199999999998
Revenue Growth 5yr,0.046010499999999996
Dividend Growth 5yr,-0.2889053
Short Int Current Month,670055.0
Short Int Prev Month,790605.0
Short Int Pct of Float,0.0118116
Days to Cover,3.05619
Float,56.5536
Shares Outstanding,58.1698
Institutions Holding Shares,239.0
FCF Growth 5yr,-0.827956136911158
"Price/Earnings (TTM, GAAP)",10.0
"PEG Ratio (TTM, GAAP)",
Gross Profit Margin (TTM),0.34840000000000004
Operating Profit Margin (TTM),0.09519999999999999
Net Profit Margin (TTM),0.0507
Annual Dividend Yield,0.0036
Dividend Change %,-0.5789
"Dividend Growth Rate, 3 Years",-0.4642
EPS Growth (MRQ),-0.1543
EPS Growth (TTM),0.2261
Revenue Growth (MRQ),-0.054400000000000004
Revenue Growth (TTM),0.1444
Return On Equity (TTM),0.1984
Return On Assets (TTM),0.052199999999999996
Return On Investment (TTM),0.06420000000000001
Revenue Per Employee (TTM),357106.0
Total Debt/Total Capital (MRQ),0.6212
Change in Debt/Total Capital Quarter over Quarter,0.0003
Quick Ratio (MRQ),1.19
Interest Coverage (MRQ),3.61
newConstructs,rating-box
researchTeam,rating-box
theStreet,rating-box
ford,rating-box
cfra,
marketEdge opinion,
newConstructs since,2022-11-28 00:00:00
researchTeam since,2022-09-22 00:00:00
theStreet since,2022-09-22 00:00:00
ford since,2022-10-14 00:00:00
cfra since,
marketEdge opinion since,
