,FFWM,Industry,Type,Ratio to Industry
"Price/Earnings (TTM, GAAP)",6.43,11.29,Valuation,0.5695305580159433
Price/Sales (TTM),2.17,3.28,Valuation,0.6615853658536586
Price/Book (MRQ),0.7,1.42,Valuation,0.49295774647887325
"PEG Ratio (TTM, GAAP)",,1.08,Valuation,
Gross Profit Margin (TTM),,,Profitability,
Operating Profit Margin (TTM),0.44680000000000003,0.3468,Profitability,1.2883506343713957
Net Profit Margin (TTM),0.32439999999999997,0.2848,Profitability,1.1390449438202246
Annual Dividend Yield,0.0317,0.028999999999999998,Dividend,1.0931034482758621
Dividend Change %,0.2857,-0.0087,Dividend,-32.839080459770116
"Dividend Growth Rate, 3 Years",,0.0742,Dividend,
EPS Growth (MRQ),-0.1283,-0.048,Gowth rates,2.6729166666666666
EPS Growth (TTM),-0.10070000000000001,-0.10490000000000001,Gowth rates,0.9599618684461392
Revenue Growth (MRQ),0.20870000000000002,0.5294,Gowth rates,0.3942198715527012
Revenue Growth (TTM),0.42460000000000003,0.22469999999999998,Gowth rates,1.8896306186025815
Return On Equity (TTM),0.12390000000000001,0.1153,Effectiveness,1.0745880312228968
Return On Assets (TTM),0.0117,0.0101,Effectiveness,1.1584158415841586
Return On Investment (TTM),,,Effectiveness,
Revenue Per Employee (TTM),,,Effectiveness,
Total Debt/Total Capital (MRQ),,0.0,Financial strength,
Change in Debt/Total Capital Quarter over Quarter,0.077,0.0009,Financial strength,85.55555555555556
Quick Ratio (MRQ),,,Financial strength,
Interest Coverage (MRQ),,,Financial strength,
