,FFWM
% Above Low,0.0198
% Held by Institutions,0.6919
52-Wk Range,['13.61 - 28.01']
Annual Dividend $,0.44
Annual Dividend %,0.0317
Ask,16.74
Ask Size,200.0
B/A Ratio,0.5
B/A Size,100x200
Beta,1.0
Bid,8.52
Bid Size,100.0
Closing Price,13.88
Day Change $,0.16
Day Change %,0.011699999999999999
Day High,14.02
Day Low,13.72
Dividend Pay Date,2022-11-17 00:00:00
"EPS (TTM, GAAP)",2.16
Ex-dividend,2022-11-04 00:00:00
Ex-dividend Date,11/04/22
Historical Volatility,0.337
Last (size),24.0
Last (time),1:00p ET 11/25/22
Market Cap,782.7M
"P/E Ratio (TTM, GAAP)",6.43
Prev Close,13.72
Short Interest,0.0143
Today's Open,13.8
Volume,347367.0
Volume 10-day Avg,367308.0
Volume Past Day,(Average)
Next Earnings Announcement,2023-01-30 00:00:00
Growth Analysts,5.0
Growth 1yr Low Est,0.07222222222222219
Growth 1yr High Est,0.09189189189189184
Growth 1yr Consensus Est,0.08205705705705701
Growth 2yr Low Est,-0.1789147956246402
Growth 2yr High Est,-0.04563821246989569
Growth 2yr Consensus Est,-0.11227650404726794
Growth 5yr Low Est,0.02939506120407337
Growth 5yr High Est,0.1031971539276538
Growth 5yr Consensus Est,0.06629610756586359
Growth 5yr Actual/Est,0.08137969209479329
Growth 3yr Historic,0.2031276595744681
Price/Earnings (TTM),6.43346
Price/Sales (TTM),2.16942
Price/Book (MRQ),0.69758
Price/Cash Flow (TTM),6.2664
5yr Low,8.01
5yr High,29.41
5yr Avg Return,0.000699999999999991
EPS Growth 5yr,0.2817987
Revenue Growth 5yr,0.19690629999999998
Dividend Growth 5yr,
Short Int Current Month,723973.0
Short Int Prev Month,1362041.0
Short Int Pct of Float,0.0143095
Days to Cover,2.10821
Float,50.60216
Shares Outstanding,56.38767
Institutions Holding Shares,223.0
FCF Growth 5yr,0.1872489212914745
"Price/Earnings (TTM, GAAP)",6.43
"PEG Ratio (TTM, GAAP)",
Gross Profit Margin (TTM),
Operating Profit Margin (TTM),0.44680000000000003
Net Profit Margin (TTM),0.32439999999999997
Annual Dividend Yield,0.0317
Dividend Change %,0.2857
"Dividend Growth Rate, 3 Years",
EPS Growth (MRQ),-0.1283
EPS Growth (TTM),-0.10070000000000001
Revenue Growth (MRQ),0.20870000000000002
Revenue Growth (TTM),0.42460000000000003
Return On Equity (TTM),0.12390000000000001
Return On Assets (TTM),0.0117
Return On Investment (TTM),
Revenue Per Employee (TTM),
Total Debt/Total Capital (MRQ),
Change in Debt/Total Capital Quarter over Quarter,0.077
Quick Ratio (MRQ),
Interest Coverage (MRQ),
theStreet,rating-box
researchTeam,rating-box
ford,rating-box
cfra,
newConstructs,rating-box
marketEdge opinion,
theStreet since,2022-11-15 00:00:00
researchTeam since,2022-09-02 00:00:00
ford since,2022-09-02 00:00:00
cfra since,
newConstructs since,
marketEdge opinion since,
