,FFWM
Price/Earnings (TTM),6.43346
Price/Sales (TTM),2.16942
Price/Book (MRQ),0.69758
Price/Cash Flow (TTM),6.2664
5yr Low,8.01
5yr High,29.41
5yr Avg Return,0.000699999999999991
EPS Growth 5yr,0.2817987
Revenue Growth 5yr,0.19690629999999998
Dividend Growth 5yr,
Short Int Current Month,723973.0
Short Int Prev Month,1362041.0
Short Int Pct of Float,0.0143095
Days to Cover,2.10821
Float,50.60216
Shares Outstanding,56.38767
Institutions Holding Shares,223.0
% Held by Institutions,0.691901
FCF Growth 5yr,0.1872489212914745
