,RPD
% Above Low,0.047
% Held by Institutions,0.9952
52-Wk Range,['26.49 - 129.09']
Annual Dividend $,
Annual Dividend %,
Ask,27.77
Ask Size,200.0
B/A Ratio,1.0
B/A Size,200x200
Beta,1.3
Bid,27.72
Bid Size,200.0
Day Change $,-0.23
Day Change %,-0.008199999999999999
Day High,28.15
Day Low,27.35
Dividend Pay Date,No dividend
"EPS (TTM, GAAP)",-2.73
Ex-dividend Date,No dividend
Historical Volatility,0.621
Last (size),8.0
Last (time),1:14p ET 11/28/22
Market Cap,1.6B
Market Edge Opinion:,Avoid
"P/E Ratio (TTM, GAAP)",
Prev Close,27.96
Price,27.73
Short Interest,0.08130000000000001
Today's Open,27.53
Volume Past Day,(Light)
Next Earnings Announcement,2023-02-08 00:00:00
Growth Analysts,17.0
Growth 1yr Low Est,-2.7777777777777777
Growth 1yr High Est,-7.666666666666667
Growth 1yr Consensus Est,-5.222222222222222
Growth 2yr Low Est,-1.1076388888888888
Growth 2yr High Est,-2.2833333333333337
Growth 2yr Consensus Est,-1.6954861111111112
Growth 5yr Low Est,-1.8663194444444446
Growth 5yr High Est,-1.9479166666666665
Growth 5yr Consensus Est,-1.9071180555555556
Growth 5yr Actual/Est,-1.344444444444444
Growth 3yr Historic,-0.6527777777777778
Price/Earnings (TTM),
Price/Sales (TTM),2.5393
Price/Book (MRQ),
Price/Cash Flow (TTM),
5yr Low,18.27
5yr High,145.0
5yr Avg Return,0.2681
EPS Growth 5yr,
Revenue Growth 5yr,0.2773648
Dividend Growth 5yr,
Short Int Current Month,4738391.0
Short Int Prev Month,4903930.0
Short Int Pct of Float,0.0813478
Days to Cover,2.34493
Float,58.30488
Shares Outstanding,59.23592
Institutions Holding Shares,404.0
FCF Growth 5yr,0.846054156352646
"Price/Earnings (TTM, GAAP)",
"PEG Ratio (TTM, GAAP)",
Gross Profit Margin (TTM),0.6790999999999999
Operating Profit Margin (TTM),-0.21309999999999998
Net Profit Margin (TTM),-0.2422
Annual Dividend Yield,
Dividend Change %,
"Dividend Growth Rate, 3 Years",
EPS Growth (MRQ),0.2807
EPS Growth (TTM),-0.1342
Revenue Growth (MRQ),0.0496
Revenue Growth (TTM),0.31260000000000004
Return On Equity (TTM),
Return On Assets (TTM),-0.1236
Return On Investment (TTM),-0.1935
Revenue Per Employee (TTM),277196.0
Total Debt/Total Capital (MRQ),1.2115
Change in Debt/Total Capital Quarter over Quarter,-0.0007000000000000001
Quick Ratio (MRQ),
Interest Coverage (MRQ),-5.21
researchTeam,rating-box
theStreet,rating-box
newConstructs,rating-box
ford,rating-box
cfra,
marketEdge opinion,
researchTeam since,2022-01-10 00:00:00
theStreet since,2022-01-10 00:00:00
newConstructs since,2022-11-26 00:00:00
ford since,2022-11-11 00:00:00
cfra since,
marketEdge opinion since,
