,RPD,Industry,Type,Ratio to Industry
"Price/Earnings (TTM, GAAP)",,54.08,Valuation,
Price/Sales (TTM),2.54,9.39,Valuation,0.27050053248136313
Price/Book (MRQ),,12.63,Valuation,
"PEG Ratio (TTM, GAAP)",,1.92,Valuation,
Gross Profit Margin (TTM),0.6790999999999999,0.7206,Profitability,0.9424091035248403
Operating Profit Margin (TTM),-0.21309999999999998,0.2172,Profitability,-0.981123388581952
Net Profit Margin (TTM),-0.2422,0.1553,Profitability,-1.5595621377978108
Annual Dividend Yield,,0.006999999999999999,Dividend,
Dividend Change %,,0.07940000000000001,Dividend,
"Dividend Growth Rate, 3 Years",,0.0703,Dividend,
EPS Growth (MRQ),0.2807,-0.0752,Gowth rates,-3.7327127659574466
EPS Growth (TTM),-0.1342,-0.2824,Gowth rates,0.4752124645892352
Revenue Growth (MRQ),0.0496,0.15560000000000002,Gowth rates,0.3187660668380462
Revenue Growth (TTM),0.31260000000000004,0.1906,Gowth rates,1.6400839454354672
Return On Equity (TTM),,0.2189,Effectiveness,
Return On Assets (TTM),-0.1236,0.10740000000000001,Effectiveness,-1.1508379888268156
Return On Investment (TTM),-0.1935,0.1387,Effectiveness,-1.3950973323720262
Revenue Per Employee (TTM),277196.0,667721.0,Effectiveness,0.41513746010684105
Total Debt/Total Capital (MRQ),1.2115,0.39659999999999995,Financial strength,3.054715078164398
Change in Debt/Total Capital Quarter over Quarter,-0.0007000000000000001,0.0004,Financial strength,-1.7500000000000002
Quick Ratio (MRQ),,1.0,Financial strength,
Interest Coverage (MRQ),-5.21,0.28,Financial strength,-18.607142857142854
