,LNT
% Below High,0.1365
% Held by Institutions,0.7715000000000001
52-Wk Range,['47.19 - 65.37']
Annual Dividend $,1.71
Annual Dividend %,0.030299999999999997
Ask,
Ask Size,
B/A Ratio,
B/A Size,--
Beta,0.5
Bid,
Bid Size,
Closing Price,56.45
Day Change $,
Day Change %,
Day High,
Day Low,
Dividend Pay Date,2022-11-15 00:00:00
"EPS (TTM, GAAP)",2.65
Ex-dividend,2022-10-28 00:00:00
Ex-dividend Date,10/28/22
Historical Volatility,0.247
Last (size),2.0
Last (time),1:00p ET 11/25/22
Market Cap,14.2B
Market Edge Opinion:,Neutral From Avoid
"P/E Ratio (TTM, GAAP)",21.28
Prev Close,56.45
Short Interest,0.0126
Today's Open,
Volume,337532.0
Volume 10-day Avg,1373171.0
Volume Past Day,(Light)
Next Earnings Announcement,2023-02-16 00:00:00
Growth Analysts,11.0
Growth 1yr Low Est,0.0620155038759691
Growth 1yr High Est,0.05639097744360888
Growth 1yr Consensus Est,0.05920324065978899
Growth 2yr Low Est,0.049255927120466225
Growth 2yr High Est,0.05132716131966919
Growth 2yr Consensus Est,0.05029154422006771
Growth 5yr Low Est,0.055386697184687306
Growth 5yr High Est,0.05993728176594437
Growth 5yr Consensus Est,0.05766198947531584
Growth 5yr Actual/Est,0.056371501720806294
Growth 3yr Historic,0.031305745421148334
Price/Earnings (TTM),21.28293
Price/Sales (TTM),3.47906
Price/Book (MRQ),2.2618
Price/Cash Flow (TTM),10.65428
5yr Low,36.84
5yr High,65.37
5yr Avg Return,0.04941666666666667
EPS Growth 5yr,0.0981504
Revenue Growth 5yr,0.020192
Dividend Growth 5yr,0.06501960000000001
Short Int Current Month,3170553.0
Short Int Prev Month,3155151.0
Short Int Pct of Float,0.0126498
Days to Cover,1.67324
Float,250.653
Shares Outstanding,251.022
Institutions Holding Shares,847.0
FCF Growth 5yr,1.04367993754879
"Price/Earnings (TTM, GAAP)",21.28
"PEG Ratio (TTM, GAAP)",3.85
Gross Profit Margin (TTM),0.3898
Operating Profit Margin (TTM),0.2212
Net Profit Margin (TTM),0.16519999999999999
Annual Dividend Yield,0.030299999999999997
Dividend Change %,0.0592
"Dividend Growth Rate, 3 Years",0.0631
EPS Growth (MRQ),0.4265
EPS Growth (TTM),0.0468
Revenue Growth (MRQ),0.2036
Revenue Growth (TTM),0.1444
Return On Equity (TTM),0.10869999999999999
Return On Assets (TTM),0.0349
Return On Investment (TTM),0.039
Revenue Per Employee (TTM),1229399.0
Total Debt/Total Capital (MRQ),0.5789
Change in Debt/Total Capital Quarter over Quarter,0.0006
Quick Ratio (MRQ),0.58
Interest Coverage (MRQ),4.54
researchTeam,rating-box
theStreet,rating-box
newConstructs,rating-box
cfra,
ford,rating-box
marketEdge opinion,
researchTeam since,2022-08-08 00:00:00
theStreet since,2021-04-27 00:00:00
newConstructs since,2022-11-26 00:00:00
cfra since,2022-08-08 00:00:00
ford since,2022-11-11 00:00:00
marketEdge opinion since,
