,ARCH
% Below High,0.14529999999999998
% Held by Institutions,0.9218000000000001
52-Wk Range,['73.54 - 183.53']
Annual Dividend $,1.0
Annual Dividend %,0.0064
Ask,159.0
Ask Size,800.0
B/A Ratio,0.25
B/A Size,200x800
Beta,0.7
Bid,154.0
Bid Size,200.0
Closing Price,156.87
Day Change $,1.13
Day Change %,0.0073
Day High,158.92
Day Low,155.0
Dividend Pay Date,2022-12-15 00:00:00
"EPS (TTM, GAAP)",52.36
Ex-dividend,2022-11-29 00:00:00
Ex-dividend Date,11/29/22
Historical Volatility,0.642
Last (size),3.0
Last (time),5:00p ET 11/25/22
Market Cap,2.8B
Market Edge Opinion:,Long
"P/E Ratio (TTM, GAAP)",3.0
Prev Close,155.74
Short Interest,0.16449999999999998
Today's Open,155.0
Volume,218492.0
Volume 10-day Avg,359988.0
Volume Past Day,(Light)
Next Earnings Announcement,2023-02-14 00:00:00
Growth Analysts,5.0
Growth 1yr Low Est,3.8249763481551557
Growth 1yr High Est,3.403765690376569
Growth 1yr Consensus Est,3.6143710192658625
Growth 2yr Low Est,1.7420960172148328
Growth 2yr High Est,1.5536643178723701
Growth 2yr Consensus Est,1.6478801675436014
Growth 5yr Low Est,0.8710480086074164
Growth 5yr High Est,0.7768321589361851
Growth 5yr Consensus Est,0.8239400837718007
Growth 5yr Actual/Est,-0.9145447022143085
Growth 3yr Historic,-1.2592775875186755
Price/Earnings (TTM),2.99622
Price/Sales (TTM),0.77275
Price/Book (MRQ),2.39724
Price/Cash Flow (TTM),2.32154
5yr Low,21.8
5yr High,183.53
5yr Avg Return,0.2187166666666667
EPS Growth 5yr,-0.1744584
Revenue Growth 5yr,0.0226207
Dividend Growth 5yr,
Short Int Current Month,2913168.0
Short Int Prev Month,3242853.0
Short Int Pct of Float,0.1644567
Days to Cover,7.54805
Float,17.71442
Shares Outstanding,18.0828
Institutions Holding Shares,279.0
FCF Growth 5yr,-9.809213042820764
"Price/Earnings (TTM, GAAP)",3.0
"PEG Ratio (TTM, GAAP)",
Gross Profit Margin (TTM),0.3874
Operating Profit Margin (TTM),0.3041
Net Profit Margin (TTM),0.2961
Annual Dividend Yield,0.0064
Dividend Change %,
"Dividend Growth Rate, 3 Years",-0.46140000000000003
EPS Growth (MRQ),-0.5443
EPS Growth (TTM),50.407
Revenue Growth (MRQ),-0.2378
Revenue Growth (TTM),1.0822
Return On Equity (TTM),1.3581999999999999
Return On Assets (TTM),0.5115
Return On Investment (TTM),0.637
Revenue Per Employee (TTM),1111361.0
Total Debt/Total Capital (MRQ),0.1308
Change in Debt/Total Capital Quarter over Quarter,-0.0073
Quick Ratio (MRQ),1.95
Interest Coverage (MRQ),
researchTeam,rating-box
ford,rating-box
newConstructs,rating-box
cfra,
marketEdge opinion,
marketEdge,rating-box
researchTeam since,2022-07-29 00:00:00
ford since,2022-07-29 00:00:00
newConstructs since,2022-11-25 00:00:00
cfra since,
marketEdge opinion since,
marketEdge since,2021-11-29 00:00:00
