,2021,2022,Q4 2021,Q1 2022,Q2 2022,Q3 2022,Report
high,40.5,45.99,,,,,
low,20.94,12.64,,,,,
change,-0.15630000000000002,0.27690000000000003,,,,,
Date,,,2021-12-31 00:00:00,2022-03-31 00:00:00,2022-06-30 00:00:00,2022-09-30 00:00:00,Balance Sheet
Cash & Equivalents,,,115826.0,53668.0,16767.0,48271.0,Balance Sheet
Short Term Investments,,,203495.0,249563.0,265454.0,218343.0,Balance Sheet
Cash and Short Term Invs,,,319321.0,303231.0,282221.0,266614.0,Balance Sheet
"Total Receivables, Net",,,2000.0,2000.0,1500.0,0.0,Balance Sheet
Prepaid Expenses,,,2440.0,1615.0,1155.0,1223.0,Balance Sheet
"Other Curr. Assets, Total",,,150.0,150.0,0.0,0.0,Balance Sheet
Total Current Assets,,,323911.0,306996.0,284876.0,267837.0,Balance Sheet
Buildings,,,103.0,,,,Balance Sheet
Machinery/Equipment,,,4212.0,,,,Balance Sheet
Construction in Progress,,,358.0,,,,Balance Sheet
Other Prop./Plant/Equip.,,,199.0,,,,Balance Sheet
Prop./Plant/Equip. - Gross,,,4872.0,,,,Balance Sheet
Accumulated Depreciation,,,-3227.0,,,,Balance Sheet
Prop./Plant/Equip. - Net,,,1645.0,17415.0,16953.0,16488.0,Balance Sheet
Deferred Charges,,,,,,600.0,Balance Sheet
Restricted Cash - LT,,,198.0,198.0,198.0,198.0,Balance Sheet
Other Long Term Assets,,,0.0,,554.0,-129.0,Balance Sheet
Total Assets,,,325754.0,324609.0,302581.0,284994.0,Balance Sheet
Accounts Payable,,,1710.0,4753.0,1963.0,1388.0,Balance Sheet
Accrued Expenses,,,8691.0,9327.0,10103.0,10277.0,Balance Sheet
Notes Payable/ST Debt,,,0.0,0.0,0.0,0.0,Balance Sheet
Curr. Port. LT Dbt/Cap Ls.,,,480.0,714.0,0.0,0.0,Balance Sheet
"Other Curr. Lblts, Total",,,0.0,,,,Balance Sheet
Total Current Liabilities,,,10881.0,14794.0,12066.0,11665.0,Balance Sheet
Total Long Term Debt,,,1916.0,1710.0,0.0,0.0,Balance Sheet
Total Debt,,,2396.0,2424.0,0.0,0.0,Balance Sheet
"Other Liabilities, Total",,,8.0,12936.0,12580.0,12215.0,Balance Sheet
Total Liabilities,,,12805.0,29440.0,24646.0,23880.0,Balance Sheet
Redeemable Preferred Stock,,,0.0,0.0,0.0,0.0,Balance Sheet
Common Stock,,,4.0,4.0,4.0,4.0,Balance Sheet
Additional Paid-In Capital,,,416710.0,418603.0,423333.0,426798.0,Balance Sheet
Ret. Earn.(Accum. Deficit),,,-103707.0,-122298.0,-143820.0,-164370.0,Balance Sheet
"Other Equity, Total",,,-58.0,-1140.0,-1582.0,-1318.0,Balance Sheet
Total Equity,,,312949.0,295169.0,277935.0,261114.0,Balance Sheet
Total Liabilities & Shareholders’ Equity,,,325754.0,324609.0,302581.0,284994.0,Balance Sheet
Ttl Comm. Shares Outs.,,,38224.0,38229.0,38211.0,38182.0,Balance Sheet
Trsy. Shrs-Comm. Primary Iss.,,,0.0,0.0,0.0,0.0,Balance Sheet
Date,,,2021-12-31 00:00:00,2022-03-31 00:00:00,2022-06-30 00:00:00,2022-09-30 00:00:00,Income Statement
Total Revenue,,,0.0,0.0,0.0,0.0,Income Statement
Selling/Gen/Admin Expense,,,2762.0,4613.0,5283.0,4675.0,Income Statement
Labor & Related Expense,,,1234.0,835.0,2131.0,1764.0,Income Statement
