,DICE
% Below High,0.292
% Held by Institutions,0.82
52-Wk Range,['12.64 - 45.99']
Annual Dividend $,
Annual Dividend %,
Ask,42.77
Ask Size,1400.0
B/A Ratio,0.14285714285714285
B/A Size,200x1400
Beta,
Bid,32.0
Bid Size,200.0
Closing Price,32.56
Day Change $,-0.91
Day Change %,-0.027200000000000002
Day High,33.85
Day Low,32.25
Dividend Pay Date,No dividend
"EPS (TTM, GAAP)",-2.05
Ex-dividend Date,No dividend
Historical Volatility,0.91
Last (size),13.0
Last (time),12:59p ET 11/25/22
Market Cap,1.5B
"P/E Ratio (TTM, GAAP)",
Prev Close,33.47
Short Interest,0.09570000000000001
Today's Open,33.54
Volume,93424.0
Volume 10-day Avg,320120.0
Volume Past Day,(Light)
Next Earnings Announcement,2023-03-21 00:00:00
Growth Analysts,3.0
Growth 1yr Low Est,
Growth 1yr High Est,
Growth 1yr Consensus Est,
Growth 2yr Low Est,0.35981308411214963
Growth 2yr High Est,0.18041237113402064
Growth 2yr Consensus Est,0.27011272762308514
Growth 5yr Low Est,0.35981308411214963
Growth 5yr High Est,0.18041237113402064
Growth 5yr Consensus Est,0.27011272762308514
Growth 5yr Actual/Est,-0.09787806518681585
Growth 3yr Historic,0.0
Price/Earnings (TTM),
Price/Sales (TTM),
Price/Book (MRQ),4.76119
Price/Cash Flow (TTM),
5yr Low,12.64
5yr High,45.99
5yr Avg Return,0.0603
Short Int Current Month,4345666.0
Short Int Prev Month,4360191.0
Short Int Pct of Float,0.0957024
Days to Cover,9.82898
Float,46.09555
Shares Outstanding,47.67118
Institutions Holding Shares,120.0
FCF Growth 5yr,0.35958725595506613
EPS Growth 5yr,
Revenue Growth 5yr,
Dividend Growth 5yr,
"Price/Earnings (TTM, GAAP)",
"PEG Ratio (TTM, GAAP)",
Gross Profit Margin (TTM),
Operating Profit Margin (TTM),
Net Profit Margin (TTM),
Annual Dividend Yield,
Dividend Change %,
"Dividend Growth Rate, 3 Years",
EPS Growth (MRQ),0.04820000000000001
EPS Growth (TTM),-0.9066
Revenue Growth (MRQ),
Revenue Growth (TTM),-1.0
Return On Equity (TTM),-0.2611
Return On Assets (TTM),-0.245
Return On Investment (TTM),-0.2549
Revenue Per Employee (TTM),0.0
Total Debt/Total Capital (MRQ),0.0
Change in Debt/Total Capital Quarter over Quarter,-0.01
Quick Ratio (MRQ),
Interest Coverage (MRQ),
ford,rating-box
cfra,
newConstructs,rating-box
theStreet,rating-box
researchTeam,rating-box
marketEdge opinion,
ford since,2022-11-18 00:00:00
cfra since,
newConstructs since,
theStreet since,
researchTeam since,
marketEdge opinion since,
