,DICE,Industry,Type,Ratio to Industry
"Price/Earnings (TTM, GAAP)",,26.92,Valuation,
Price/Sales (TTM),,18.11,Valuation,
Price/Book (MRQ),4.76,11.51,Valuation,0.4135534317984361
"PEG Ratio (TTM, GAAP)",,0.46,Valuation,
Gross Profit Margin (TTM),,0.6773,Profitability,
Operating Profit Margin (TTM),,-0.8239000000000001,Profitability,
Net Profit Margin (TTM),,-0.8640000000000001,Profitability,
Annual Dividend Yield,,0.0217,Dividend,
Dividend Change %,,0.0947,Dividend,
"Dividend Growth Rate, 3 Years",,0.084,Dividend,
EPS Growth (MRQ),0.04820000000000001,0.0883,Gowth rates,0.5458663646659118
EPS Growth (TTM),-0.9066,0.5870000000000001,Gowth rates,-1.544463373083475
Revenue Growth (MRQ),,0.0441,Gowth rates,
Revenue Growth (TTM),-1.0,0.1761,Gowth rates,-5.6785917092561045
Return On Equity (TTM),-0.2611,0.30160000000000003,Effectiveness,-0.8657161803713527
Return On Assets (TTM),-0.245,0.092,Effectiveness,-2.6630434782608696
Return On Investment (TTM),-0.2549,0.13820000000000002,Effectiveness,-1.8444283646888566
Revenue Per Employee (TTM),0.0,1425813.0,Effectiveness,0.0
Total Debt/Total Capital (MRQ),0.0,0.4169,Financial strength,0.0
Change in Debt/Total Capital Quarter over Quarter,-0.01,0.0,Financial strength,-inf
Quick Ratio (MRQ),,1.22,Financial strength,
Interest Coverage (MRQ),,26.08,Financial strength,
