,SKLZ,Industry,Type,Ratio to Industry
"Price/Earnings (TTM, GAAP)",,-577.59,Valuation,
Price/Sales (TTM),1.21,6.3,Valuation,0.19206349206349208
Price/Book (MRQ),0.94,7.63,Valuation,0.12319790301441677
"PEG Ratio (TTM, GAAP)",,-24.63,Valuation,
Gross Profit Margin (TTM),0.898,0.41159999999999997,Profitability,2.1817298347910596
Operating Profit Margin (TTM),-1.1255,0.0672,Profitability,-16.748511904761905
Net Profit Margin (TTM),-1.1500000000000001,0.0336,Profitability,-34.22619047619048
Annual Dividend Yield,,0.0015,Dividend,
Dividend Change %,,0.018600000000000002,Dividend,
"Dividend Growth Rate, 3 Years",,0.010400000000000001,Dividend,
EPS Growth (MRQ),-0.2781,-1.1815,Gowth rates,0.23537875581887432
EPS Growth (TTM),-1.4679,0.2345,Gowth rates,-6.259701492537314
Revenue Growth (MRQ),-0.1784,0.2214,Gowth rates,-0.8057813911472448
Revenue Growth (TTM),-0.0207,0.44170000000000004,Gowth rates,-0.04686438759338917
Return On Equity (TTM),-0.6796,0.1716,Effectiveness,-3.9603729603729603
Return On Assets (TTM),-0.4878,0.0233,Effectiveness,-20.935622317596565
Return On Investment (TTM),-0.5327000000000001,0.027999999999999997,Effectiveness,-19.025000000000006
Revenue Per Employee (TTM),516734.0,999442.0,Effectiveness,0.5170224985541932
Total Debt/Total Capital (MRQ),0.3862,0.4204,Financial strength,0.9186489058039962
Change in Debt/Total Capital Quarter over Quarter,,0.0014000000000000002,Financial strength,
Quick Ratio (MRQ),,0.41,Financial strength,
Interest Coverage (MRQ),-6.79,-3.12,Financial strength,2.176282051282051
