,2020,2021,2022,Q4 2021,Q1 2022,Q2 2022,Q3 2022,Report
high,23.87,46.3,7.78,,,,,
low,9.81,7.1,0.8311,,,,,
change,1.0101,-0.6261,-0.881,,,,,
Date,,,,2021-12-31 00:00:00,2022-03-31 00:00:00,2022-06-30 00:00:00,2022-09-30 00:00:00,Balance Sheet
Cash & Equivalents,,,,241.0,115.0,170.0,240.0,Balance Sheet
Short Term Investments,,,,319.0,370.0,300.0,225.0,Balance Sheet
Cash and Short Term Invs,,,,560.0,484.0,470.0,465.0,Balance Sheet
"Total Receivables, Net",,,,13.0,13.0,11.0,9.0,Balance Sheet
Prepaid Expenses,,,,15.0,21.0,20.0,17.0,Balance Sheet
"Other Curr. Assets, Total",,,,1.0,1.0,1.0,1.0,Balance Sheet
Total Current Assets,,,,591.0,519.0,503.0,492.0,Balance Sheet
Buildings,,,,0.0,,,,Balance Sheet
Machinery/Equipment,,,,9.0,,,,Balance Sheet
Construction in Progress,,,,3.0,,,,Balance Sheet
Other Prop./Plant/Equip.,,,,20.0,,,,Balance Sheet
Prop./Plant/Equip. - Gross,,,,32.0,,,,Balance Sheet
Accumulated Depreciation,,,,-7.0,,,,Balance Sheet
Prop./Plant/Equip. - Net,,,,24.0,23.0,20.0,21.0,Balance Sheet
"Goodwill, Net",,,,87.0,86.0,86.0,86.0,Balance Sheet
Intangibles - Gross,,,,87.0,87.0,87.0,87.0,Balance Sheet
Accum. Intangible Amort.,,,,-8.0,-12.0,-16.0,-67.0,Balance Sheet
Intangibles - Net,,,,79.0,75.0,71.0,20.0,Balance Sheet
Long Term Investments,,,,238.0,225.0,175.0,149.0,Balance Sheet
Other Long Term Assets,,,,3.0,4.0,4.0,4.0,Balance Sheet
Total Assets,,,,1023.0,933.0,859.0,772.0,Balance Sheet
Accounts Payable,,,,20.0,13.0,2.0,5.0,Balance Sheet
Accrued Expenses,,,,63.0,56.0,55.0,48.0,Balance Sheet
Notes Payable/ST Debt,,,,0.0,0.0,0.0,0.0,Balance Sheet
"Other Curr. Lblts, Total",,,,4.0,4.0,1.0,0.0,Balance Sheet
Total Current Liabilities,,,,87.0,73.0,58.0,53.0,Balance Sheet
Total Long Term Debt,,,,279.0,280.0,281.0,272.0,Balance Sheet
Total Debt,,,,279.0,280.0,281.0,272.0,Balance Sheet
