,SKLZ
% Above Low,0.08800000000000001
% Held by Institutions,0.4324
52-Wk Range,['0.8311 - 10.17']
Annual Dividend $,
Annual Dividend %,
Ask,0.9059
Ask Size,7000.0
B/A Ratio,0.17142857142857143
B/A Size,1200x7000
Beta,
Bid,0.9025
Bid Size,1200.0
Day Change $,-0.0604
Day Change %,-0.0626
Day High,0.9648
Day Low,0.9012
Dividend Pay Date,No dividend
"EPS (TTM, GAAP)",-0.95
Ex-dividend Date,No dividend
Historical Volatility,1.081
Last (size),100.0
Last (time),2:27p ET 11/28/22
Market Cap,379.2M
"P/E Ratio (TTM, GAAP)",
Prev Close,0.9646
Price,0.9042
Short Interest,0.1282
Today's Open,0.95
Volume Past Day,(Light)
Next Earnings Announcement,2023-02-22 00:00:00
Growth Analysts,6.0
Growth 1yr Low Est,
Growth 1yr High Est,
Growth 1yr Consensus Est,
Growth 2yr Low Est,-0.2705882352941177
Growth 2yr High Est,-0.5555555555555556
Growth 2yr Consensus Est,-0.41307189542483663
Growth 5yr Low Est,-0.2705882352941177
Growth 5yr High Est,-0.5555555555555556
Growth 5yr Consensus Est,-0.41307189542483663
Growth 5yr Actual/Est,0.15070921985815602
Growth 3yr Historic,0.05833333333333327
Price/Earnings (TTM),
Price/Sales (TTM),1.20706
Price/Book (MRQ),0.93715
Price/Cash Flow (TTM),
5yr Low,0.8311
5yr High,46.3
5yr Avg Return,-0.16566666666666663
Short Int Current Month,36079554.0
Short Int Prev Month,38731207.0
Short Int Pct of Float,0.12824159999999998
Days to Cover,3.16829
Float,291.052
Shares Outstanding,420.303
Institutions Holding Shares,245.0
FCF Growth 5yr,0.12201903525161513
EPS Growth 5yr,
Revenue Growth 5yr,
Dividend Growth 5yr,
"Price/Earnings (TTM, GAAP)",
"PEG Ratio (TTM, GAAP)",
Gross Profit Margin (TTM),0.898
Operating Profit Margin (TTM),-1.1255
Net Profit Margin (TTM),-1.1500000000000001
Annual Dividend Yield,
Dividend Change %,
"Dividend Growth Rate, 3 Years",
EPS Growth (MRQ),-0.2781
EPS Growth (TTM),-1.4679
Revenue Growth (MRQ),-0.1784
Revenue Growth (TTM),-0.0207
Return On Equity (TTM),-0.6796
Return On Assets (TTM),-0.4878
Return On Investment (TTM),-0.5327000000000001
Revenue Per Employee (TTM),516734.0
Total Debt/Total Capital (MRQ),0.3862
Change in Debt/Total Capital Quarter over Quarter,
Quick Ratio (MRQ),
Interest Coverage (MRQ),-6.79
researchTeam,rating-box
theStreet,rating-box
ford,rating-box
cfra,
newConstructs,rating-box
marketEdge opinion,
researchTeam since,2022-02-25 00:00:00
theStreet since,2022-02-25 00:00:00
ford since,2022-11-25 00:00:00
cfra since,
newConstructs since,
marketEdge opinion since,
