,FIZZ
% Below High,0.1124
% Held by Institutions,0.2376
52-Wk Range,['38.10 - 57.65']
Annual Dividend $,
Annual Dividend %,
Ask,57.96
Ask Size,200.0
B/A Ratio,1.0
B/A Size,200x200
Beta,1.1
Bid,20.53
Bid Size,200.0
Closing Price,51.17
Day Change $,-0.31
Day Change %,-0.006
Day High,51.73
Day Low,51.09
Dividend Pay Date,No dividend
"EPS (TTM, GAAP)",1.5
Ex-dividend Date,No dividend
Historical Volatility,0.371
Last (size),11.0
Last (time),1:00p ET 11/25/22
Market Cap,4.8B
Market Edge Opinion:,Long
"P/E Ratio (TTM, GAAP)",34.18
Prev Close,51.48
Short Interest,0.0582
Today's Open,51.46
Volume,49663.0
Volume 10-day Avg,132240.0
Volume Past Day,(Light)
Next Earnings Announcement,2022-12-08 00:00:00
Growth Analysts,3.0
Growth 1yr Low Est,-0.24277456647398843
Growth 1yr High Est,-0.17318435754189943
Growth 1yr Consensus Est,-0.20797946200794393
Growth 2yr Low Est,0.01983409080880727
Growth 2yr High Est,0.004624037445266516
Growth 2yr Consensus Est,0.012229064127036893
Growth 5yr Low Est,-0.010074763833555026
Growth 5yr High Est,-0.022690504246110965
Growth 5yr Consensus Est,-0.016382634039832995
Growth 5yr Actual/Est,0.07592636059396154
Growth 3yr Historic,0.06168291173512805
Price/Earnings (TTM),34.17667
Price/Sales (TTM),4.1734
Price/Book (MRQ),17.75139
Price/Cash Flow (TTM),29.94882
5yr Low,17.86
5yr High,98.22
5yr Avg Return,0.034450000000000015
EPS Growth 5yr,0.08154360000000001
Revenue Growth 5yr,0.0659503
Dividend Growth 5yr,
Short Int Current Month,1364624.0
Short Int Prev Month,1443567.0
Short Int Pct of Float,0.0581886
Days to Cover,9.90042
Float,23.45172
Shares Outstanding,93.33825
Institutions Holding Shares,245.0
FCF Growth 5yr,-0.10321447427155346
"Price/Earnings (TTM, GAAP)",34.18
"PEG Ratio (TTM, GAAP)",
Gross Profit Margin (TTM),0.3429
Operating Profit Margin (TTM),0.1608
Net Profit Margin (TTM),0.1225
Annual Dividend Yield,
Dividend Change %,
"Dividend Growth Rate, 3 Years",
EPS Growth (MRQ),0.032
EPS Growth (TTM),-0.207
Revenue Growth (MRQ),0.1193
Revenue Growth (TTM),0.049400000000000006
Return On Equity (TTM),0.4108
Return On Assets (TTM),0.26239999999999997
Return On Investment (TTM),0.35810000000000003
Revenue Per Employee (TTM),724315.0
Total Debt/Total Capital (MRQ),0.0
Change in Debt/Total Capital Quarter over Quarter,
Quick Ratio (MRQ),1.24
Interest Coverage (MRQ),
theStreet,rating-box
researchTeam,rating-box
newConstructs,rating-box
cfra,
ford,rating-box
marketEdge opinion,
theStreet since,2020-09-14 00:00:00
researchTeam since,2021-07-01 00:00:00
newConstructs since,2022-11-26 00:00:00
cfra since,2021-07-01 00:00:00
ford since,2021-01-22 00:00:00
marketEdge opinion since,
