,PH
% Below High,0.1151
% Held by Institutions,0.8277
52-Wk Range,['230.44 - 340.00']
Annual Dividend $,5.32
Annual Dividend %,0.0174
Ask,301.07
Ask Size,100.0
B/A Ratio,2.0
B/A Size,200x100
Beta,1.6
Bid,300.82
Bid Size,200.0
Day Change $,-5.15
Day Change %,-0.0168
Day High,304.27
Day Low,300.09
Dividend Pay Date,2022-12-02 00:00:00
"EPS (TTM, GAAP)",9.61
Ex-dividend,2022-11-10 00:00:00
Ex-dividend Date,11/10/22
Historical Volatility,0.318
Last (size),80.0
Last (time),10:44a ET 11/28/22
Market Cap,38.6B
Market Edge Opinion:,Long
"P/E Ratio (TTM, GAAP)",31.83
Prev Close,306.03
Price,300.88
Short Interest,0.0113
Today's Open,303.0
Volume Past Day,(Average)
Next Earnings Announcement,2023-02-02 00:00:00
Growth Analysts,20.0
Growth 1yr Low Est,0.0331125827814569
Growth 1yr High Est,0.061479869423286315
Growth 1yr Consensus Est,0.04729622610237161
Growth 2yr Low Est,-0.008283452199015107
Growth 2yr High Est,0.11249288191820384
Growth 2yr Consensus Est,0.052104714859594364
Growth 5yr Low Est,0.12011093055020072
Growth 5yr High Est,0.1468647431482911
Growth 5yr Consensus Est,0.1334878368492459
Growth 5yr Actual/Est,0.1861732665824794
Growth 3yr Historic,0.15964101906808909
Price/Earnings (TTM),31.83415
Price/Sales (TTM),2.40614
Price/Book (MRQ),4.48455
Price/Cash Flow (TTM),21.43085
5yr Low,93.0
5yr High,340.0
5yr Avg Return,0.10771666666666668
EPS Growth 5yr,0.0682627
Revenue Growth 5yr,0.056869300000000005
Dividend Growth 5yr,0.1136802
Short Int Current Month,1446589.0
Short Int Prev Month,1405187.0
Short Int Pct of Float,0.0113242
Days to Cover,1.32813
Float,127.781
Shares Outstanding,128.4057
Institutions Holding Shares,1273.0
FCF Growth 5yr,0.1020627775762607
"Price/Earnings (TTM, GAAP)",31.83
"PEG Ratio (TTM, GAAP)",3.22
Gross Profit Margin (TTM),0.2983
Operating Profit Margin (TTM),0.17070000000000002
Net Profit Margin (TTM),0.0767
Annual Dividend Yield,0.0174
Dividend Change %,0.20440000000000003
"Dividend Growth Rate, 3 Years",0.1184
EPS Growth (MRQ),2.0144
EPS Growth (TTM),-0.3286
Revenue Growth (MRQ),0.010700000000000001
Revenue Growth (TTM),0.0976
Return On Equity (TTM),0.1452
Return On Assets (TTM),0.0499
Return On Investment (TTM),0.0605
Revenue Per Employee (TTM),296453.0
Total Debt/Total Capital (MRQ),0.6141
Change in Debt/Total Capital Quarter over Quarter,0.0044
Quick Ratio (MRQ),0.73
Interest Coverage (MRQ),1.46
researchTeam,rating-box
theStreet,rating-box
newConstructs,rating-box
cfra,
ford,rating-box
marketEdge opinion,
researchTeam since,2022-11-25 00:00:00
theStreet since,2022-11-04 00:00:00
newConstructs since,2022-11-26 00:00:00
cfra since,2018-04-28 00:00:00
ford since,2022-11-25 00:00:00
marketEdge opinion since,
