,2017,2018,2019,2020,2021,2022,Q2 2022,Q3 2022,Q4 2022,Q1 2023,Report
high,53.61,61.49,56.33,50.25,49.2,44.96,,,,,
low,47.75,32.77,34.4,13.6,26.84,24.76,,,,,
change,0.0596,-0.30670000000000003,0.43710000000000004,-0.4205,-0.0085,0.3886,,,,,
Date,,,,,,,2021-12-31 00:00:00,2022-03-31 00:00:00,2022-06-30 00:00:00,2022-09-30 00:00:00,Balance Sheet
Cash and Short Term Invs,,,,,,,97.0,394.0,154.0,53.0,Balance Sheet
"Total Receivables, Net",,,,,,,307.0,336.0,382.0,390.0,Balance Sheet
Invent. - Finished Goods,,,,,,,129.0,124.0,107.0,125.0,Balance Sheet
Invent. - Work In Progress,,,,,,,270.0,257.0,261.0,336.0,Balance Sheet
Invent. - Raw Materials,,,,,,,135.0,145.0,128.0,155.0,Balance Sheet
Total Inventory,,,,,,,535.0,527.0,496.0,616.0,Balance Sheet
"Other Curr. Assets, Total",,,,,,,106.0,143.0,87.0,93.0,Balance Sheet
Total Current Assets,,,,,,,1044.0,1400.0,1119.0,1152.0,Balance Sheet
Prop./Plant/Equip. - Net,,,,,,,1476.0,1470.0,1464.0,1442.0,Balance Sheet
"Goodwill, Net",,,,,,,241.0,241.0,241.0,241.0,Balance Sheet
Intangibles - Net,,,,,,,40.0,38.0,35.0,33.0,Balance Sheet
Other Long Term Assets,,,,,,,73.0,76.0,67.0,67.0,Balance Sheet
Total Assets,,,,,,,2880.0,3230.0,2932.0,2940.0,Balance Sheet
Accounts Payable,,,,,,,170.0,214.0,242.0,288.0,Balance Sheet
Accrued Expenses,,,,,,,109.0,103.0,118.0,105.0,Balance Sheet
Notes Payable/ST Debt,,,,,,,0.0,0.0,0.0,0.0,Balance Sheet
Curr. Port. LT Dbt/Cap Ls.,,,,,,,,300.0,,,Balance Sheet
Customer Advances,,,,,,,13.0,14.0,14.0,15.0,Balance Sheet
Income Taxes Payable,,,,,,,2.0,3.0,0.0,0.0,Balance Sheet
Other Current Liabilities,,,,,,,0.0,0.0,0.0,2.0,Balance Sheet
"Other Curr. Lblts, Total",,,,,,,15.0,17.0,15.0,18.0,Balance Sheet
