,CRS,Industry,Type,Ratio to Industry
"Price/Earnings (TTM, GAAP)",,8.08,Valuation,
Price/Sales (TTM),1.01,26.91,Valuation,0.03753251579338536
Price/Book (MRQ),1.52,2.97,Valuation,0.5117845117845118
"PEG Ratio (TTM, GAAP)",,0.16,Valuation,
Gross Profit Margin (TTM),0.091,0.375,Profitability,0.24266666666666667
Operating Profit Margin (TTM),-0.0018,0.1536,Profitability,-0.01171875
Net Profit Margin (TTM),-0.0209,-0.0743,Profitability,0.28129205921938083
Annual Dividend Yield,0.0195,0.0221,Dividend,0.8823529411764706
Dividend Change %,0.0,1.2769,Dividend,0.0
"Dividend Growth Rate, 3 Years",0.0,0.1663,Dividend,0.0
EPS Growth (MRQ),-3.7883999999999998,2.9959,Gowth rates,-1.2645281885243165
EPS Growth (TTM),0.7919,0.5015,Gowth rates,1.5790628115653043
Revenue Growth (MRQ),-0.0724,-0.0395,Gowth rates,1.8329113924050635
Revenue Growth (TTM),0.3058,0.19710000000000003,Gowth rates,1.5514967021816335
Return On Equity (TTM),-0.031000000000000003,0.2866,Effectiveness,-0.10816468946266573
Return On Assets (TTM),-0.013999999999999999,0.08710000000000001,Effectiveness,-0.1607347876004592
Return On Investment (TTM),-0.016,0.1716,Effectiveness,-0.09324009324009325
Revenue Per Employee (TTM),480878.0,1553496.0,Effectiveness,0.3095456956438897
Total Debt/Total Capital (MRQ),0.3462,0.3055,Financial strength,1.1332242225859248
Change in Debt/Total Capital Quarter over Quarter,0.0,0.0382,Financial strength,0.0
Quick Ratio (MRQ),1.3,2.21,Financial strength,0.5882352941176471
Interest Coverage (MRQ),0.61,28.97,Financial strength,0.02105626510182948
