,LIVN,Industry,Type,Ratio to Industry
"Price/Earnings (TTM, GAAP)",,61.36,Valuation,
Price/Sales (TTM),2.82,9.8,Valuation,0.2877551020408163
Price/Book (MRQ),2.5,10.31,Valuation,0.2424830261881668
"PEG Ratio (TTM, GAAP)",,3.02,Valuation,
Gross Profit Margin (TTM),0.7092,0.6196,Profitability,1.144609425435765
Operating Profit Margin (TTM),-0.0689,0.047,Profitability,-1.4659574468085106
Net Profit Margin (TTM),-0.09480000000000001,0.009300000000000001,Profitability,-10.193548387096774
Annual Dividend Yield,,0.0095,Dividend,
Dividend Change %,,0.0679,Dividend,
"Dividend Growth Rate, 3 Years",,0.0524,Dividend,
EPS Growth (MRQ),-7.5944,-0.4858,Gowth rates,15.632770687525731
EPS Growth (TTM),0.7862,-0.2029,Gowth rates,-3.874815179891572
Revenue Growth (MRQ),-0.0061,0.1161,Gowth rates,-0.05254091300602929
Revenue Growth (TTM),-0.0173,0.18300000000000002,Gowth rates,-0.09453551912568305
Return On Equity (TTM),-0.0784,0.1068,Effectiveness,-0.7340823970037452
Return On Assets (TTM),-0.0437,0.0622,Effectiveness,-0.7025723472668811
Return On Investment (TTM),-0.0556,0.0732,Effectiveness,-0.7595628415300546
Revenue Per Employee (TTM),338998.0,403586.0,Effectiveness,0.8399647163182072
Total Debt/Total Capital (MRQ),0.3201,0.3161,Financial strength,1.0126542233470421
Change in Debt/Total Capital Quarter over Quarter,0.0125,0.0125,Financial strength,1.0
Quick Ratio (MRQ),2.53,2.25,Financial strength,1.1244444444444444
Interest Coverage (MRQ),0.06,14.99,Financial strength,0.00400266844563042
