,LIVN
% Above Low,0.2834
% Held by Institutions,1.0459
52-Wk Range,['41.82 - 89.69']
Annual Dividend $,
Annual Dividend %,
Ask,
Ask Size,
Ask close,66.15
B/A Ratio,
B/A Size,--
Beta,0.8
Bid,
Bid Size,
Bid close,41.37
Change Since Close,-1.62| |(-3.02%)
Closing Price,53.67
Day Change $,
Day Change %,
Day High,
Day Low,
Dividend Pay Date,No dividend
"EPS (TTM, GAAP)",-1.81
Ex-dividend Date,No dividend
Historical Volatility,0.429
Last (size),1.0
Last (time),1:00p ET 11/25/22
Last Trade,52.05
Market Cap,2.9B
Market Edge Opinion:,Neutral From Avoid
"P/E Ratio (TTM, GAAP)",
Prev Close,53.67
Short Interest,0.0352
Today's Open,
Volume,1.0
Volume 10-day Avg,554399.0
Volume Past Day,(Light)
Next Earnings Announcement,2023-02-22 00:00:00
Growth Analysts,7.0
Growth 1yr Low Est,-0.02450980392156865
Growth 1yr High Est,0.11848341232227488
Growth 1yr Consensus Est,0.046986804200353116
Growth 2yr Low Est,0.058096856833185495
Growth 2yr High Est,0.1249196722628324
Growth 2yr Consensus Est,0.09150826454800895
Growth 5yr Low Est,0.06836002261949134
Growth 5yr High Est,0.07507231400972819
Growth 5yr Consensus Est,0.07171616831460977
Growth 5yr Actual/Est,0.05894839480689398
Growth 3yr Historic,0.010564730545045448
Price/Earnings (TTM),
Price/Sales (TTM),2.82456
Price/Book (MRQ),2.5045
Price/Cash Flow (TTM),
5yr Low,33.4
5yr High,131.54
5yr Avg Return,-0.052000000000000005
EPS Growth 5yr,
Revenue Growth 5yr,0.0142056
Dividend Growth 5yr,
Short Int Current Month,1876509.0
Short Int Prev Month,1926867.0
Short Int Pct of Float,0.0352016
Days to Cover,3.43937
Float,53.30745
Shares Outstanding,53.5227
Institutions Holding Shares,306.0
FCF Growth 5yr,1.8189247282264354
"Price/Earnings (TTM, GAAP)",
"PEG Ratio (TTM, GAAP)",
Gross Profit Margin (TTM),0.7092
Operating Profit Margin (TTM),-0.0689
Net Profit Margin (TTM),-0.09480000000000001
Annual Dividend Yield,
Dividend Change %,
"Dividend Growth Rate, 3 Years",
EPS Growth (MRQ),-7.5944
EPS Growth (TTM),0.7862
Revenue Growth (MRQ),-0.0061
Revenue Growth (TTM),-0.0173
Return On Equity (TTM),-0.0784
Return On Assets (TTM),-0.0437
Return On Investment (TTM),-0.0556
Revenue Per Employee (TTM),338998.0
Total Debt/Total Capital (MRQ),0.3201
Change in Debt/Total Capital Quarter over Quarter,0.0125
Quick Ratio (MRQ),2.53
Interest Coverage (MRQ),0.06
researchTeam,rating-box
theStreet,rating-box
newConstructs,rating-box
ford,rating-box
cfra,
marketEdge opinion,
researchTeam since,2022-10-20 00:00:00
theStreet since,2022-10-20 00:00:00
newConstructs since,2022-11-26 00:00:00
ford since,2021-12-17 00:00:00
cfra since,
marketEdge opinion since,
