,ECL
% Above Low,0.13670000000000002
% Held by Institutions,0.8715
52-Wk Range,['131.04 - 237.38']
Annual Dividend $,2.04
Annual Dividend %,0.0137
Ask,166.0
Ask Size,100.0
B/A Ratio,1.0
B/A Size,100x100
Beta,1.0
Bid,138.81
Bid Size,100.0
Closing Price,148.95
Day Change $,-1.11
Day Change %,-0.0074
Day High,150.1
Day Low,148.69
Dividend Pay Date,2022-10-17 00:00:00
"EPS (TTM, GAAP)",3.92
Ex-dividend,2022-09-19 00:00:00
Ex-dividend Date,09/19/22
Historical Volatility,0.34600000000000003
Last (size),124.0
Last (time),5:00p ET 11/25/22
Market Cap,42.4B
Market Edge Opinion:,Avoid
"P/E Ratio (TTM, GAAP)",37.95
Prev Close,150.06
Short Interest,0.0084
Today's Open,149.7
Volume,553353.0
Volume 10-day Avg,1315567.0
Volume Past Day,(Light)
Next Earnings Announcement,2023-02-14 00:00:00
Growth Analysts,17.0
Growth 1yr Low Est,-0.08760683760683763
Growth 1yr High Est,-0.0958083832335328
Growth 1yr Consensus Est,-0.09170761042018521
Growth 2yr Low Est,0.0030349886907264367
Growth 2yr High Est,0.05915982604327774
Growth 2yr Consensus Est,0.03109740736700209
Growth 5yr Low Est,-0.030715286323126062
Growth 5yr High Est,0.007539873719256157
Growth 5yr Consensus Est,-0.011587706301934952
Growth 5yr Actual/Est,-0.018297225804240258
Growth 3yr Historic,-0.03565292096219927
Price/Earnings (TTM),37.95069
Price/Sales (TTM),3.0563
Price/Book (MRQ),6.00642
Price/Cash Flow (TTM),20.56976
5yr Low,124.6
5yr High,238.93
5yr Avg Return,0.04294999999999999
EPS Growth 5yr,-0.011557
Revenue Growth 5yr,-0.0064499
Dividend Growth 5yr,0.0652085
Short Int Current Month,2385235.0
Short Int Prev Month,2892072.0
Short Int Pct of Float,0.0084189
Days to Cover,1.14643
Float,283.4503
Shares Outstanding,284.8281
Institutions Holding Shares,1650.0
FCF Growth 5yr,2.5808060673176954
"Price/Earnings (TTM, GAAP)",37.95
"PEG Ratio (TTM, GAAP)",3.85
Gross Profit Margin (TTM),0.3848
Operating Profit Margin (TTM),0.1091
Net Profit Margin (TTM),0.0825
Annual Dividend Yield,0.013700000000000002
Dividend Change %,0.0213
"Dividend Growth Rate, 3 Years",0.053899999999999997
EPS Growth (MRQ),0.127
EPS Growth (TTM),0.0011
Revenue Growth (MRQ),0.0248
Revenue Growth (TTM),0.1164
Return On Equity (TTM),0.1612
Return On Assets (TTM),0.0588
Return On Investment (TTM),0.071
Revenue Per Employee (TTM),295345.0
Total Debt/Total Capital (MRQ),0.5459
Change in Debt/Total Capital Quarter over Quarter,0.0022
Quick Ratio (MRQ),0.87
Interest Coverage (MRQ),7.8
researchTeam,rating-box
cfra,
ford,rating-box
newConstructs,rating-box
marketEdge opinion,
marketEdge,rating-box
researchTeam since,2022-11-03 00:00:00
cfra since,2022-11-03 00:00:00
ford since,2021-08-06 00:00:00
newConstructs since,2022-11-25 00:00:00
marketEdge opinion since,
marketEdge since,2020-07-29 00:00:00
