,CHDN,Industry,Type,Ratio to Industry
"Price/Earnings (TTM, GAAP)",17.99,114.03,Valuation,0.15776550030693676
Price/Sales (TTM),4.94,5.62,Valuation,0.8790035587188613
Price/Book (MRQ),13.65,8.49,Valuation,1.607773851590106
"PEG Ratio (TTM, GAAP)",,0.53,Valuation,
Gross Profit Margin (TTM),0.3173,0.4054,Profitability,0.7826837691169216
Operating Profit Margin (TTM),0.20350000000000001,0.163,Profitability,1.2484662576687118
Net Profit Margin (TTM),0.2834,0.0779,Profitability,3.637997432605905
Annual Dividend Yield,0.0032,0.011200000000000002,Dividend,0.2857142857142857
Dividend Change %,0.0723,0.056100000000000004,Dividend,1.2887700534759359
"Dividend Growth Rate, 3 Years",0.0707,0.031000000000000003,Dividend,2.2806451612903222
EPS Growth (MRQ),-0.8311000000000001,0.3309,Gowth rates,-2.5116349350256875
EPS Growth (TTM),1.183,2.1359,Gowth rates,0.5538648813146684
Revenue Growth (MRQ),-0.3423,0.38439999999999996,Gowth rates,-0.8904786680541104
Revenue Growth (TTM),0.1217,0.7695000000000001,Gowth rates,0.1581546458739441
Return On Equity (TTM),1.0094,0.19090000000000001,Effectiveness,5.2875851231011
Return On Assets (TTM),0.12560000000000002,0.0758,Effectiveness,1.6569920844327177
Return On Investment (TTM),0.1412,0.1005,Effectiveness,1.4049751243781092
Revenue Per Employee (TTM),338900.0,285753.0,Effectiveness,1.18598929845006
Total Debt/Total Capital (MRQ),0.8384999999999999,1.1596,Financial strength,0.7230941704035874
Change in Debt/Total Capital Quarter over Quarter,0.0003,0.002,Financial strength,0.15
Quick Ratio (MRQ),,0.81,Financial strength,
Interest Coverage (MRQ),,40.22,Financial strength,
