,CHDN
% Below High,0.10300000000000001
% Held by Institutions,0.7383
52-Wk Range,['172.75 - 249.33']
Annual Dividend $,0.714
Annual Dividend %,0.0032
Ask,359.9
Ask Size,200.0
B/A Ratio,0.5
B/A Size,100x200
Beta,1.1
Bid,212.5
Bid Size,100.0
Closing Price,223.65
Day Change $,1.48
Day Change %,0.0067
Day High,225.24
Day Low,222.13
Dividend Pay Date,2023-01-06 00:00:00
"EPS (TTM, GAAP)",12.43
Ex-dividend,2022-12-01 00:00:00
Ex-dividend Date,12/01/22
Historical Volatility,0.42700000000000005
Last (size),195.0
Last (time),12:59p ET 11/25/22
Market Cap,8.4B
Market Edge Opinion:,Long
"P/E Ratio (TTM, GAAP)",17.99
Prev Close,222.17
Short Interest,0.0182
Today's Open,222.85
Volume,68238.0
Volume 10-day Avg,153018.0
Volume Past Day,(Light)
Next Earnings Announcement,2023-02-22 00:00:00
Growth Analysts,5.0
Growth 1yr Low Est,0.15540540540540548
Growth 1yr High Est,0.025487256371814038
Growth 1yr Consensus Est,0.09044633088860976
Growth 2yr Low Est,0.44758574363837533
Growth 2yr High Est,0.3826266691215796
Growth 2yr Consensus Est,0.41510620637997747
Growth 5yr Low Est,0.44758574363837533
Growth 5yr High Est,0.3826266691215796
Growth 5yr Consensus Est,0.41510620637997747
Growth 5yr Actual/Est,1.6637231905797907
Growth 3yr Historic,1.4594903315292773
Price/Earnings (TTM),17.98677
Price/Sales (TTM),4.9367
Price/Book (MRQ),13.65189
Price/Cash Flow (TTM),14.31914
5yr Low,52.9
5yr High,262.2
5yr Avg Return,0.23129999999999998
EPS Growth 5yr,0.26909669999999997
Revenue Growth 5yr,0.1419714
Dividend Growth 5yr,0.08676249999999999
Short Int Current Month,597136.0
Short Int Prev Month,679369.0
Short Int Pct of Float,0.0181996
Days to Cover,3.11956
Float,32.81031
Shares Outstanding,37.40327
Institutions Holding Shares,424.0
FCF Growth 5yr,0.2102540308061482
"Price/Earnings (TTM, GAAP)",17.99
"PEG Ratio (TTM, GAAP)",
Gross Profit Margin (TTM),0.3173
Operating Profit Margin (TTM),0.20350000000000001
Net Profit Margin (TTM),0.2834
Annual Dividend Yield,0.0032
Dividend Change %,0.0723
"Dividend Growth Rate, 3 Years",0.0707
EPS Growth (MRQ),-0.8311000000000001
EPS Growth (TTM),1.183
Revenue Growth (MRQ),-0.3423
Revenue Growth (TTM),0.1217
Return On Equity (TTM),1.0094
Return On Assets (TTM),0.12560000000000002
Return On Investment (TTM),0.1412
Revenue Per Employee (TTM),338900.0
Total Debt/Total Capital (MRQ),0.8384999999999999
Change in Debt/Total Capital Quarter over Quarter,0.0003
Quick Ratio (MRQ),
Interest Coverage (MRQ),
researchTeam,rating-box
ford,rating-box
newConstructs,rating-box
cfra,
marketEdge opinion,
marketEdge,rating-box
researchTeam since,2022-08-20 00:00:00
ford since,2021-08-06 00:00:00
newConstructs since,2022-11-25 00:00:00
cfra since,
marketEdge opinion since,
marketEdge since,2021-08-04 00:00:00
