,2019,2020,2021,2022,Q4 2021,Q1 2022,Q2 2022,Q3 2022,Report
high,16.95,78.05,239.26,162.65,,,,,
low,12.25,7.6,56.0,23.2,,,,,
change,0.24780000000000002,3.6299,0.9500000000000001,-0.8270000000000001,,,,,
Date,,,,,2021-12-31 00:00:00,2022-03-31 00:00:00,2022-06-30 00:00:00,2022-09-30 00:00:00,Balance Sheet
Cash & Due from Banks,,,,,208.0,207.0,256.0,466.0,Balance Sheet
Interest-Earning Deposits,,,,,5180.0,1178.0,1637.0,1421.0,Balance Sheet
FHLB Stock,,,,,34.0,62.0,63.0,60.0,Balance Sheet
Other Short Trm Invest.,,,,,34.0,46.0,158.0,154.0,Balance Sheet
Securities Held,,,,,,2752.0,3131.0,3105.0,Balance Sheet
Securities for Sale,,,,,8625.0,9463.0,8686.0,8317.0,Balance Sheet
Total Invest. Securities,,,,,8625.0,12215.0,11818.0,11422.0,Balance Sheet
Loans Held for Sale,,,,,893.0,937.0,872.0,925.0,Balance Sheet
"Other Erng. Assets, Total",,,,,14766.0,14439.0,14548.0,13982.0,Balance Sheet
Total Gross Loans,,,,,894.0,745.0,601.0,473.0,Balance Sheet
Loan Loss Allowances,,,,,-7.0,-4.0,-4.0,-3.0,Balance Sheet
Unearned Income,,,,,0.0,-2.0,-2.0,-2.0,Balance Sheet
Net Loans,,,,,887.0,739.0,595.0,468.0,Balance Sheet
Prop./Plant/Equip. - Net,,,,,7.0,2.0,3.0,4.0,Balance Sheet
Intangibles - Net,,,,,,190.0,190.0,194.0,Balance Sheet
Interest Receivable,,,,,40.0,63.0,72.0,79.0,Balance Sheet
Other Assets,,,,,96.0,159.0,235.0,276.0,Balance Sheet
"Other Assets, Total",,,,,136.0,221.0,307.0,354.0,Balance Sheet
Total Assets,,,,,16005.0,15798.0,15900.0,15467.0,Balance Sheet
Accrued Expenses,,,,,90.0,40.0,108.0,182.0,Balance Sheet
Non-Interest Bearing Dep.,,,,,14213.0,13324.0,13436.0,12006.0,Balance Sheet
Interest Bearing Deposits,,,,,77.0,73.0,65.0,1233.0,Balance Sheet
Total Deposits,,,,,14291.0,13396.0,13501.0,13238.0,Balance Sheet
"Other Bearing Lblts, Total",,,,,,800.0,800.0,700.0,Balance Sheet
Total Long Term Debt,,,,,16.0,16.0,16.0,16.0,Balance Sheet
Total Debt,,,,,16.0,16.0,16.0,16.0,Balance Sheet
"Other Liabilities, Total",,,,,,,53.0,,Balance Sheet
Total Liabilities,,,,,14397.0,14252.0,14477.0,14136.0,Balance Sheet
"Pref. Stock-Non Rdmbl, Net",,,,,0.0,0.0,0.0,0.0,Balance Sheet
Common Stock,,,,,0.0,0.0,0.0,0.0,Balance Sheet
Additional Paid-In Capital,,,,,1422.0,1554.0,1555.0,1556.0,Balance Sheet
Ret. Earn.(Accum. Deficit),,,,,194.0,219.0,254.0,295.0,Balance Sheet
"Other Equity, Total",,,,,-7.0,-226.0,-386.0,-520.0,Balance Sheet
Total Equity,,,,,1609.0,1546.0,1423.0,1331.0,Balance Sheet
Total Liabilities & Shareholders’ Equity,,,,,16005.0,15798.0,15900.0,15467.0,Balance Sheet
Shr Outs.-Com. Primary Iss.,,,,,30.0,32.0,32.0,32.0,Balance Sheet
Shr Outs.-Com. Stk. Iss. 2,,,,,0.0,0.0,,0.0,Balance Sheet
Ttl Comm. Shares Outs.,,,,,30.0,32.0,32.0,32.0,Balance Sheet
Trsy. Shrs-Comm. Primary Iss.,,,,,0.0,0.0,0.0,0.0,Balance Sheet
Trsy. Shrs-Comm. Iss. 2,,,,,0.0,0.0,,0.0,Balance Sheet
Trsry Shrs-Pref. Iss. 1,,,,,0.0,0.0,0.0,0.0,Balance Sheet
Date,,,,,2021-12-31 00:00:00,2022-03-31 00:00:00,2022-06-30 00:00:00,2022-09-30 00:00:00,Income Statement
Interest & Fees on Loans,,,,,17892.0,18287.0,22054.0,20663.0,Income Statement
Inter & Divs/ Invest Securs,,,,,17647.0,30963.0,45806.0,61813.0,Income Statement
Other Interest Income,,,,,2943.0,1588.0,3727.0,8290.0,Income Statement
"Interest Income, Bank",,,,,38482.0,50838.0,71587.0,90766.0,Income Statement
Interest on Deposit,,,,,27.0,21.0,2.0,5221.0,Income Statement
Inter on Other Borrowings,,,,,249.0,322.0,1039.0,4657.0,Income Statement
Total Interest Expense,,,,,276.0,343.0,1041.0,9878.0,Income Statement
Net Interest Income,,,,,38206.0,50495.0,70546.0,80888.0,Income Statement
Loan Loss Provision,,,,,0.0,-2474.0,0.0,-601.0,Income Statement
NetInterIn after Loan Loss Provision,,,,,38206.0,52969.0,70546.0,81489.0,Income Statement
Commish & Fees/Secur Act,,,,,684.0,651.0,555.0,482.0,Income Statement
Fees for Other Cust Serv,,,,,9378.0,8968.0,8808.0,7953.0,Income Statement
Invest Securities Gains,,,,,56.0,-605.0,-199.0,0.0,Income Statement
Other Unusual Income,,,,,0.0,,,,Income Statement
Other Revenue,,,,,937.0,436.0,50.0,19.0,Income Statement
"Non-Interest Income, Bank",,,,,11055.0,9450.0,9214.0,8454.0,Income Statement
Labor & Related Expenses,,,,,-13815.0,-15544.0,-16356.0,-19632.0,Income Statement
Investmt Securities Losses,,,,,-364.0,-384.0,-682.0,-529.0,Income Statement
Other Expense,,,,,-11477.0,-12090.0,-13514.0,-12992.0,Income Statement
"Non-Interest Expense, Bank",,,,,-25656.0,-28018.0,-30552.0,-33153.0,Income Statement
Income Before Tax,,,,,23605.0,34401.0,49208.0,56790.0,Income Statement
Income Tax - Total,,,,,2214.0,7015.0,10603.0,13462.0,Income Statement
Income After Tax,,,,,21391.0,27386.0,38605.0,43328.0,Income Statement
Net Inc Before Extra Items,,,,,21391.0,27386.0,38605.0,43328.0,Income Statement
Total Net Income,,,,,21391.0,27386.0,38605.0,43328.0,Income Statement
Total Adjust to Net Income,,,,,-3016.0,-2688.0,-2688.0,-2688.0,Income Statement
Income Available to Common Excl. Extra. Items,,,,,18375.0,24698.0,35917.0,40640.0,Income Statement
Income Available to Common Incl. Extra. Items,,,,,18375.0,24698.0,35917.0,40640.0,Income Statement
Basic/Primary Weighted Average Shares,,,,,27547.0,31219.0,31635.0,31655.0,Income Statement
Basic/Primary EPS Excl. Extra. Items,,,,,0.67,0.79,1.14,1.28,Income Statement
Basic/Primary EPS Incl. Extra. Items,,,,,0.67,0.79,1.14,1.28,Income Statement
Diluted Weighted Average Shares,,,,,27764.0,31401.0,31799.0,31803.0,Income Statement
Diluted EPS Excl. Extra. Items,,,,,0.66,0.79,1.13,1.28,Income Statement
Diluted EPS Incl. Extra. Items,,,,,0.66,0.79,1.13,1.28,Income Statement
Div/Share-ComStockPrimIssue,,,,,,0.0,0.0,0.0,Income Statement
Gross Divid - Common Stock,,,,,0.0,0.0,0.0,0.0,Income Statement
Pro Forma Net Income,,,,,,,,,Income Statement
"Depreciat/Amort, Suppl",,,,,720.0,815.0,813.0,903.0,Income Statement
Total Special Items,,,,,0.0,,,,Income Statement
Normalzd Income Before Tax,,,,,23605.0,34401.0,49208.0,56790.0,Income Statement
Efct/SpecItemsIncTxs (STEC),,,,,0.0,,,,Income Statement
IncTxsExcl ImpctofSpec Itms,,,,,2214.0,7015.0,10603.0,13462.0,Income Statement
Normalized Income After Tax,,,,,21391.0,27386.0,38605.0,43328.0,Income Statement
Normalzd Inc Avail to Common,,,,,18375.0,24698.0,35917.0,40640.0,Income Statement
Basic Normalized EPS,,,,,0.67,0.79,1.14,1.28,Income Statement
