,SI
% Above Low,0.1168
% Held by Institutions,0.7794
52-Wk Range,['23.20 - 232.00']
Annual Dividend $,
Annual Dividend %,
Ask,25.93
Ask Size,600.0
B/A Ratio,0.3333333333333333
B/A Size,200x600
Beta,
Bid,25.89
Bid Size,200.0
Day Change $,-3.23
Day Change %,-0.1108
Day High,28.55
Day Low,25.65
Dividend Pay Date,No dividend
"EPS (TTM, GAAP)",3.86
Ex-dividend Date,No dividend
Historical Volatility,1.092
Last (size),10.0
Last (time),2:17p ET 11/28/22
Market Cap,819.6M
"P/E Ratio (TTM, GAAP)",7.56
Prev Close,29.14
Price,25.91
Short Interest,0.2198
Today's Open,27.49
Volume Past Day,(Light)
Next Earnings Announcement,2023-01-17 00:00:00
Growth Analysts,9.0
Growth 1yr Low Est,-0.1254355400696865
Growth 1yr High Est,0.4917491749174916
Growth 1yr Consensus Est,0.18315681742390255
Growth 2yr Low Est,-0.014909005094604133
Growth 2yr High Est,0.44941441046759545
Growth 2yr Consensus Est,0.21725270268649566
Growth 5yr Low Est,0.41310624511624927
Growth 5yr High Est,0.5573995129261053
Growth 5yr Consensus Est,0.4852528790211773
Growth 5yr Actual/Est,0.4477806857957507
Growth 3yr Historic,0.33317208462332304
Price/Earnings (TTM),7.55756
Price/Sales (TTM),3.31479
Price/Book (MRQ),0.69294
Price/Cash Flow (TTM),7.50752
5yr Low,7.6
5yr High,239.26
5yr Avg Return,1.000175
EPS Growth 5yr,0.5057922
Revenue Growth 5yr,0.2570604
Dividend Growth 5yr,
Short Int Current Month,5643210.0
Short Int Prev Month,3193760.0
Short Int Pct of Float,0.2198172
Days to Cover,1.26214
Float,25.71018
Shares Outstanding,31.6586
Institutions Holding Shares,364.0
FCF Growth 5yr,-1.3728037847303902
"Price/Earnings (TTM, GAAP)",7.56
"PEG Ratio (TTM, GAAP)",
Gross Profit Margin (TTM),
Operating Profit Margin (TTM),0.5893
Net Profit Margin (TTM),0.4697
Annual Dividend Yield,
Dividend Change %,
"Dividend Growth Rate, 3 Years",
EPS Growth (MRQ),0.13140000000000002
EPS Growth (TTM),0.4263
Revenue Growth (MRQ),0.26789999999999997
Revenue Growth (TTM),1.2053
Return On Equity (TTM),0.09949999999999999
Return On Assets (TTM),0.009300000000000001
Return On Investment (TTM),
Revenue Per Employee (TTM),
Total Debt/Total Capital (MRQ),
Change in Debt/Total Capital Quarter over Quarter,-0.0017000000000000001
Quick Ratio (MRQ),
Interest Coverage (MRQ),
theStreet,rating-box
newConstructs,rating-box
ford,rating-box
cfra,
researchTeam,rating-box
marketEdge opinion,
theStreet since,
newConstructs since,2022-11-26 00:00:00
ford since,2022-10-21 00:00:00
cfra since,
researchTeam since,
marketEdge opinion since,
