,LXRX
% Above Low,0.626
% Held by Institutions,0.8198000000000001
52-Wk Range,['1.31 - 5.03']
Annual Dividend $,
Annual Dividend %,
Ask,2.6
Ask Size,600.0
B/A Ratio,1.6666666666666667
B/A Size,1000x600
Beta,1.4
Bid,1.31
Bid Size,1000.0
Closing Price,2.13
Day Change $,
Day Change %,
Day High,
Day Low,
Dividend Pay Date,No dividend
"EPS (TTM, GAAP)",-0.63
Ex-dividend Date,No dividend
Historical Volatility,0.9159999999999999
Last (size),1.0
Last (time),1:00p ET 11/25/22
Market Cap,402.0M
"P/E Ratio (TTM, GAAP)",
Prev Close,2.13
Short Interest,0.0206
Today's Open,
Volume,77557.0
Volume 10-day Avg,375193.0
Volume Past Day,(Light)
Next Earnings Announcement,2023-02-28 00:00:00
Growth Analysts,3.0
Growth 1yr Low Est,-0.032258064516129115
Growth 1yr High Est,-0.033333333333333326
Growth 1yr Consensus Est,-0.03279569892473122
Growth 2yr Low Est,0.10053763440860214
Growth 2yr High Est,-0.06839080459770108
Growth 2yr Consensus Est,0.016073414905450528
Growth 5yr Low Est,0.10053763440860214
Growth 5yr High Est,-0.06839080459770108
Growth 5yr Consensus Est,0.016073414905450528
Growth 5yr Actual/Est,-0.3311346485375797
Growth 3yr Historic,-0.3312052700065062
Price/Earnings (TTM),
Price/Sales (TTM),3215.887
Price/Book (MRQ),2.79122
Price/Cash Flow (TTM),
5yr Low,1.03
5yr High,13.97
5yr Avg Return,-0.20404999999999998
EPS Growth 5yr,
Revenue Growth 5yr,-0.6726314999999999
Dividend Growth 5yr,
Short Int Current Month,3855870.0
Short Int Prev Month,4258450.0
Short Int Pct of Float,0.0206454
Days to Cover,8.92922
Float,186.8382
Shares Outstanding,188.7257
Institutions Holding Shares,137.0
FCF Growth 5yr,0.23713503104517786
"Price/Earnings (TTM, GAAP)",
"PEG Ratio (TTM, GAAP)",
Gross Profit Margin (TTM),0.11199999999999999
Operating Profit Margin (TTM),-766.4960000000001
Net Profit Margin (TTM),-776.488
Annual Dividend Yield,
Dividend Change %,
"Dividend Growth Rate, 3 Years",
EPS Growth (MRQ),0.1863
EPS Growth (TTM),-0.32170000000000004
Revenue Growth (MRQ),0.1143
Revenue Growth (TTM),-0.7412000000000001
Return On Equity (TTM),-0.6918000000000001
Return On Assets (TTM),-0.5333
Return On Investment (TTM),-0.6235
Revenue Per Employee (TTM),1436.78
Total Debt/Total Capital (MRQ),0.1417
Change in Debt/Total Capital Quarter over Quarter,0.0083
Quick Ratio (MRQ),
Interest Coverage (MRQ),-26.73
newConstructs,rating-box
theStreet,rating-box
cfra,
ford,rating-box
researchTeam,rating-box
marketEdge opinion,
newConstructs since,2022-11-28 00:00:00
theStreet since,2016-11-02 00:00:00
cfra since,
ford since,
researchTeam since,
marketEdge opinion since,
