,LXRX,Industry,Type,Ratio to Industry
"Price/Earnings (TTM, GAAP)",,471.78,Valuation,
Price/Sales (TTM),3215.89,45.03,Valuation,71.41661114812347
Price/Book (MRQ),2.79,12.61,Valuation,0.22125297383029344
"PEG Ratio (TTM, GAAP)",,173.15,Valuation,
Gross Profit Margin (TTM),0.11199999999999999,0.5874,Profitability,0.19067075246850523
Operating Profit Margin (TTM),-766.4960000000001,-4.7459,Profitability,161.50698497650606
Net Profit Margin (TTM),-776.488,-4.5467,Profitability,170.78056612488177
Annual Dividend Yield,,0.0144,Dividend,
Dividend Change %,,0.0382,Dividend,
"Dividend Growth Rate, 3 Years",,0.047599999999999996,Dividend,
EPS Growth (MRQ),0.1863,-0.0014000000000000002,Gowth rates,-133.07142857142856
EPS Growth (TTM),-0.32170000000000004,0.027200000000000002,Gowth rates,-11.827205882352942
Revenue Growth (MRQ),0.1143,1.3963999999999999,Gowth rates,0.08185333715267833
Revenue Growth (TTM),-0.7412000000000001,0.9747,Gowth rates,-0.7604391094695805
Return On Equity (TTM),-0.6918000000000001,0.1967,Effectiveness,-3.5170310116929335
Return On Assets (TTM),-0.5333,0.0016,Effectiveness,-333.3125
Return On Investment (TTM),-0.6235,0.0219,Effectiveness,-28.4703196347032
Revenue Per Employee (TTM),1436.78,1476201.0,Effectiveness,0.0009732956419891329
Total Debt/Total Capital (MRQ),0.1417,0.4675,Financial strength,0.3031016042780748
Change in Debt/Total Capital Quarter over Quarter,0.0083,0.0036,Financial strength,2.305555555555556
Quick Ratio (MRQ),,2.06,Financial strength,
Interest Coverage (MRQ),-26.73,2.69,Financial strength,-9.936802973977695
