,NI,Industry,Type,Ratio to Industry
"Price/Earnings (TTM, GAAP)",17.73,23.73,Valuation,0.7471554993678887
Price/Sales (TTM),2.0,2.69,Valuation,0.7434944237918216
Price/Book (MRQ),1.96,2.13,Valuation,0.9201877934272301
"PEG Ratio (TTM, GAAP)",2.79,0.62,Valuation,4.5
Gross Profit Margin (TTM),0.3705,0.2545,Profitability,1.455795677799607
Operating Profit Margin (TTM),0.2133,0.1723,Profitability,1.2379570516540916
Net Profit Margin (TTM),0.1303,0.10310000000000001,Profitability,1.2638215324927253
Annual Dividend Yield,0.0344,0.0332,Dividend,1.036144578313253
Dividend Change %,0.047599999999999996,-0.0167,Dividend,-2.8502994011976046
"Dividend Growth Rate, 3 Years",0.040999999999999995,0.016399999999999998,Dividend,2.5
EPS Growth (MRQ),-0.0294,0.7661,Gowth rates,-0.038376191097767916
EPS Growth (TTM),0.3683,0.38189999999999996,Gowth rates,0.9643885833987956
Revenue Growth (MRQ),-0.0792,0.2281,Gowth rates,-0.3472161332748795
Revenue Growth (TTM),0.1813,0.1961,Gowth rates,0.9245283018867924
Return On Equity (TTM),0.1286,0.08710000000000001,Effectiveness,1.4764638346727896
Return On Assets (TTM),0.029900000000000003,0.0227,Effectiveness,1.3171806167400881
Return On Investment (TTM),0.0346,0.0265,Effectiveness,1.3056603773584905
Revenue Per Employee (TTM),763834.0,960944.0,Effectiveness,0.7948787858605705
Total Debt/Total Capital (MRQ),0.5905,0.5784,Financial strength,1.0209197786998616
Change in Debt/Total Capital Quarter over Quarter,0.0,0.0002,Financial strength,0.0
Quick Ratio (MRQ),0.37,0.59,Financial strength,0.6271186440677966
Interest Coverage (MRQ),1.75,3.04,Financial strength,0.5756578947368421
