,NI
% Above Low,0.1476
% Held by Institutions,0.9185
52-Wk Range,['23.78 - 32.59']
Annual Dividend $,0.94
Annual Dividend %,0.0344
Ask,31.12
Ask Size,100.0
B/A Ratio,2.0
B/A Size,200x100
Beta,0.4
Bid,26.84
Bid Size,200.0
Closing Price,27.29
Day Change $,
Day Change %,
Day High,
Day Low,
Dividend Pay Date,2022-11-18 00:00:00
"EPS (TTM, GAAP)",1.54
Ex-dividend,2022-10-28 00:00:00
Ex-dividend Date,10/28/22
Historical Volatility,0.253
Last (size),4.0
Last (time),5:00p ET 11/25/22
Market Cap,11.1B
Market Edge Opinion:,Neutral From Avoid
"P/E Ratio (TTM, GAAP)",17.73
Prev Close,27.29
Short Interest,0.0346
Today's Open,
Volume,923800.0
Volume 10-day Avg,4053342.0
Volume Past Day,(Light)
Next Earnings Announcement,2023-02-22 00:00:00
Growth Analysts,13.0
Growth 1yr Low Est,0.06716417910447747
Growth 1yr High Est,0.10294117647058809
Growth 1yr Consensus Est,0.08505267778753278
Growth 2yr Low Est,0.058057614027763216
Growth 2yr High Est,0.06813725490196076
Growth 2yr Consensus Est,0.06309743446486199
Growth 5yr Low Est,0.04293331894988961
Growth 5yr High Est,0.04164438502673795
Growth 5yr Consensus Est,0.04228885198831378
Growth 5yr Actual/Est,0.03958547849499272
Growth 3yr Historic,0.009469696969696961
Price/Earnings (TTM),17.72723
Price/Sales (TTM),1.99536
Price/Book (MRQ),1.96216
Price/Cash Flow (TTM),7.58358
5yr Low,19.56
5yr High,32.59
5yr Avg Return,0.008483333333333332
EPS Growth 5yr,0.044413400000000006
Revenue Growth 5yr,0.0175002
Dividend Growth 5yr,0.0657628
Short Int Current Month,13978633.0
Short Int Prev Month,11290411.0
Short Int Pct of Float,0.0345503
Days to Cover,2.30209
Float,404.5943
Shares Outstanding,406.1343
Institutions Holding Shares,770.0
FCF Growth 5yr,18.782546108861897
"Price/Earnings (TTM, GAAP)",17.73
"PEG Ratio (TTM, GAAP)",2.79
Gross Profit Margin (TTM),0.3705
Operating Profit Margin (TTM),0.2133
Net Profit Margin (TTM),0.1303
Annual Dividend Yield,0.0344
Dividend Change %,0.047599999999999996
"Dividend Growth Rate, 3 Years",0.040999999999999995
EPS Growth (MRQ),-0.0294
EPS Growth (TTM),0.3683
Revenue Growth (MRQ),-0.0792
Revenue Growth (TTM),0.1813
Return On Equity (TTM),0.1286
Return On Assets (TTM),0.029900000000000003
Return On Investment (TTM),0.0346
Revenue Per Employee (TTM),763834.0
Total Debt/Total Capital (MRQ),0.5905
Change in Debt/Total Capital Quarter over Quarter,0.0
Quick Ratio (MRQ),0.37
Interest Coverage (MRQ),1.75
newConstructs,rating-box
researchTeam,rating-box
theStreet,rating-box
cfra,
ford,rating-box
marketEdge opinion,
newConstructs since,2022-11-28 00:00:00
researchTeam since,2021-08-20 00:00:00
theStreet since,2021-12-21 00:00:00
cfra since,2022-11-07 00:00:00
ford since,2020-05-08 00:00:00
marketEdge opinion since,
