,TWNK
% Below High,0.09970000000000001
% Held by Institutions,1.0611
52-Wk Range,['16.76 - 29.00']
Annual Dividend $,
Annual Dividend %,
Ask,26.77
Ask Size,800.0
B/A Ratio,34.5
B/A Size,27600x800
Beta,0.6
Bid,25.45
Bid Size,27600.0
Closing Price,26.11
Day Change $,0.05
Day Change %,0.0019
Day High,26.42
Day Low,25.94
Dividend Pay Date,No dividend
"EPS (TTM, GAAP)",1.21
Ex-dividend Date,No dividend
Historical Volatility,0.28
Last (size),1.0
Last (time),3:59p ET 11/28/22
Market Cap,3.5B
"P/E Ratio (TTM, GAAP)",21.5
Prev Close,26.06
Short Interest,0.0294
Today's Open,26.01
Volume,832551.0
Volume 10-day Avg,996617.0
Volume Past Day,(Below Average)
Next Earnings Announcement,2023-02-28 00:00:00
Growth Analysts,10.0
Growth 1yr Low Est,0.12941176470588234
Growth 1yr High Est,0.11363636363636354
Growth 1yr Consensus Est,0.12152406417112294
Growth 2yr Low Est,0.10637254901960791
Growth 2yr High Est,0.17416512059369194
Growth 2yr Consensus Est,0.14026883480664992
Growth 5yr Low Est,0.15390775870586443
Growth 5yr High Est,0.1830078574105981
Growth 5yr Consensus Est,0.16845780805823127
Growth 5yr Actual/Est,0.15978371897101834
Growth 3yr Historic,0.10071038251366121
Price/Earnings (TTM),21.50325
Price/Sales (TTM),2.65146
Price/Book (MRQ),1.95101
Price/Cash Flow (TTM),15.43107
5yr Low,9.33
5yr High,29.0
5yr Avg Return,0.13863333333333336
EPS Growth 5yr,0.0983738
Revenue Growth 5yr,0.0943572
Dividend Growth 5yr,
Short Int Current Month,3909713.0
Short Int Prev Month,4451599.0
Short Int Pct of Float,0.0293806
Days to Cover,3.23125
Float,133.0751
Shares Outstanding,133.8867
Institutions Holding Shares,359.0
FCF Growth 5yr,2.018238111531702
"Price/Earnings (TTM, GAAP)",21.5
"PEG Ratio (TTM, GAAP)",1.65
Gross Profit Margin (TTM),0.34509999999999996
Operating Profit Margin (TTM),0.1654
Net Profit Margin (TTM),0.1275
Annual Dividend Yield,
Dividend Change %,
"Dividend Growth Rate, 3 Years",
EPS Growth (MRQ),1.1958
EPS Growth (TTM),1.0601
Revenue Growth (MRQ),0.0169
Revenue Growth (TTM),0.19530000000000003
Return On Equity (TTM),0.0966
Return On Assets (TTM),0.0477
Return On Investment (TTM),0.0509
Revenue Per Employee (TTM),506119.0
Total Debt/Total Capital (MRQ),0.3803
Change in Debt/Total Capital Quarter over Quarter,-0.0006
Quick Ratio (MRQ),1.81
Interest Coverage (MRQ),5.21
researchTeam,rating-box
theStreet,rating-box
newConstructs,rating-box
ford,rating-box
cfra,
marketEdge opinion,
researchTeam since,2022-11-11 00:00:00
theStreet since,2021-10-14 00:00:00
newConstructs since,2022-11-26 00:00:00
ford since,2022-11-11 00:00:00
cfra since,
marketEdge opinion since,
