,CF,Industry,Type,Ratio to Industry
"Price/Earnings (TTM, GAAP)",7.13,20.13,Valuation,0.3541977148534526
Price/Sales (TTM),1.92,3.27,Valuation,0.5871559633027522
Price/Book (MRQ),4.83,5.58,Valuation,0.8655913978494624
"PEG Ratio (TTM, GAAP)",1.57,0.12,Valuation,13.083333333333334
Gross Profit Margin (TTM),0.5181,0.3453,Profitability,1.5004344048653344
Operating Profit Margin (TTM),0.4773,0.0535,Profitability,8.921495327102804
Net Profit Margin (TTM),0.3406,0.0204,Profitability,16.69607843137255
Annual Dividend Yield,0.0147,0.0188,Dividend,0.7819148936170213
Dividend Change %,0.0,0.102,Dividend,0.0
"Dividend Growth Rate, 3 Years",0.0,0.06910000000000001,Dividend,0.0
EPS Growth (MRQ),-0.6091,-0.6111,Gowth rates,0.9967272132220586
EPS Growth (TTM),10.0488,1.725,Gowth rates,5.825391304347826
Revenue Growth (MRQ),-0.31510000000000005,0.212,Gowth rates,-1.4863207547169814
Revenue Growth (TTM),1.18,0.23420000000000002,Gowth rates,5.0384286934244225
Return On Equity (TTM),0.8645,0.2206,Effectiveness,3.918857660924751
Return On Assets (TTM),0.3024,0.06420000000000001,Effectiveness,4.710280373831775
Return On Investment (TTM),0.43729999999999997,0.08410000000000001,Effectiveness,5.19976218787158
Revenue Per Employee (TTM),3706000.0,817013.0,Effectiveness,4.536035534318303
Total Debt/Total Capital (MRQ),0.2947,0.4105,Financial strength,0.7179049939098661
Change in Debt/Total Capital Quarter over Quarter,-0.0024,0.001,Financial strength,-2.4
Quick Ratio (MRQ),2.3,1.18,Financial strength,1.9491525423728813
Interest Coverage (MRQ),20.78,26.2,Financial strength,0.7931297709923665
