,CF
% Below High,0.09179999999999999
% Held by Institutions,0.9393
52-Wk Range,['57.25 - 119.60']
Annual Dividend $,1.6
Annual Dividend %,0.0147
Ask,109.0
Ask Size,100.0
B/A Ratio,1.0
B/A Size,100x100
Beta,1.0
Bid,102.22
Bid Size,100.0
Closing Price,108.62
Day Change $,2.31
Day Change %,0.0217
Day High,109.78
Day Low,106.18
Dividend Pay Date,2022-11-30 00:00:00
"EPS (TTM, GAAP)",15.23
Ex-dividend,2022-11-14 00:00:00
Ex-dividend Date,11/14/22
Historical Volatility,0.501
Last (size),44.0
Last (time),5:00p ET 11/25/22
Market Cap,21.3B
Market Edge Opinion:,Neutral From Long
"P/E Ratio (TTM, GAAP)",7.13
Prev Close,106.31
Short Interest,0.0258
Today's Open,106.35
Volume,1044411.0
Volume 10-day Avg,2471965.0
Volume Past Day,(Light)
Next Earnings Announcement,2023-02-14 00:00:00
Growth Analysts,11.0
Growth 1yr Low Est,6.788659793814433
Growth 1yr High Est,6.728813559322034
Growth 1yr Consensus Est,6.758736676568233
Growth 2yr Low Est,3.0673940928039736
Growth 2yr High Est,3.358376077906631
Growth 2yr Consensus Est,3.2128850853553024
Growth 5yr Low Est,1.5336970464019868
Growth 5yr High Est,1.6791880389533156
Growth 5yr Consensus Est,1.6064425426776512
Growth 5yr Actual/Est,1.0622530862189914
Growth 3yr Historic,0.38017934446505874
Price/Earnings (TTM),7.13023
Price/Sales (TTM),1.91672
Price/Book (MRQ),4.83328
Price/Cash Flow (TTM),4.55636
5yr Low,19.73
5yr High,119.6
5yr Avg Return,0.24290000000000003
EPS Growth 5yr,
Revenue Growth 5yr,0.1215057
Dividend Growth 5yr,0.0
Short Int Current Month,5040088.0
Short Int Prev Month,5035021.0
Short Int Pct of Float,0.0257904
Days to Cover,1.65877
Float,195.3472
Shares Outstanding,196.1895
Institutions Holding Shares,1066.0
FCF Growth 5yr,0.18486645185588946
"Price/Earnings (TTM, GAAP)",7.13
"PEG Ratio (TTM, GAAP)",1.57
Gross Profit Margin (TTM),0.5181
Operating Profit Margin (TTM),0.4773
Net Profit Margin (TTM),0.3406
Annual Dividend Yield,0.0147
Dividend Change %,0.0
"Dividend Growth Rate, 3 Years",0.0
EPS Growth (MRQ),-0.6091
EPS Growth (TTM),10.0488
Revenue Growth (MRQ),-0.31510000000000005
Revenue Growth (TTM),1.18
Return On Equity (TTM),0.8645
Return On Assets (TTM),0.3024
Return On Investment (TTM),0.43729999999999997
Revenue Per Employee (TTM),3706000.0
Total Debt/Total Capital (MRQ),0.2947
Change in Debt/Total Capital Quarter over Quarter,-0.0024
Quick Ratio (MRQ),2.3
Interest Coverage (MRQ),20.78
researchTeam,rating-box
cfra,
ford,rating-box
newConstructs,rating-box
marketEdge opinion,
marketEdge,rating-box
researchTeam since,2022-08-20 00:00:00
cfra since,2022-03-04 00:00:00
ford since,2022-11-04 00:00:00
newConstructs since,2022-11-25 00:00:00
marketEdge opinion since,
marketEdge since,2021-02-18 00:00:00
