,SITE
% Above Low,0.2298
% Held by Institutions,1.0325
52-Wk Range,['97.36 - 253.80']
Annual Dividend $,
Annual Dividend %,
Ask,119.85
Ask Size,200.0
B/A Ratio,0.5
B/A Size,100x200
Beta,1.4
Bid,119.64
Bid Size,100.0
Day Change $,-3.7
Day Change %,-0.03
Day High,122.5
Day Low,119.67
Dividend Pay Date,No dividend
"EPS (TTM, GAAP)",5.98
Ex-dividend Date,No dividend
Historical Volatility,0.501
Last (size),2.0
Last (time),2:17p ET 11/28/22
Market Cap,5.4B
Market Edge Opinion:,Long
"P/E Ratio (TTM, GAAP)",20.65
Prev Close,123.43
Price,119.73
Short Interest,0.064
Today's Open,121.32
Volume Past Day,(Light)
Next Earnings Announcement,2023-02-15 00:00:00
Growth Analysts,6.0
Growth 1yr Low Est,
Growth 1yr High Est,
Growth 1yr Consensus Est,
Growth 2yr Low Est,-0.2583025830258303
Growth 2yr High Est,-0.04804270462633464
Growth 2yr Consensus Est,-0.15317264382608248
Growth 5yr Low Est,-0.2583025830258303
Growth 5yr High Est,-0.04804270462633464
Growth 5yr Consensus Est,-0.15317264382608248
Growth 5yr Actual/Est,0.25951183605953276
Growth 3yr Historic,0.28408167411621293
Price/Earnings (TTM),20.64765
Price/Sales (TTM),1.41666
Price/Book (MRQ),4.20504
Price/Cash Flow (TTM),15.0136
5yr Low,45.32
5yr High,260.0
5yr Avg Return,0.19699999999999998
EPS Growth 5yr,
Revenue Growth 5yr,0.1609312
Dividend Growth 5yr,
Short Int Current Month,2844349.0
Short Int Prev Month,2893063.0
Short Int Pct of Float,0.064036
Days to Cover,6.92895
Float,44.41794
Shares Outstanding,45.10283
Institutions Holding Shares,433.0
FCF Growth 5yr,-1.6981655400856839
"Price/Earnings (TTM, GAAP)",20.65
"PEG Ratio (TTM, GAAP)",
Gross Profit Margin (TTM),0.3566
Operating Profit Margin (TTM),0.0936
Net Profit Margin (TTM),0.0697
Annual Dividend Yield,
Dividend Change %,
"Dividend Growth Rate, 3 Years",
EPS Growth (MRQ),-0.479
EPS Growth (TTM),0.231
Revenue Growth (MRQ),-0.09369999999999999
Revenue Growth (TTM),0.1746
Return On Equity (TTM),0.2334
Return On Assets (TTM),0.11449999999999999
Return On Investment (TTM),0.1506
Revenue Per Employee (TTM),689421.0
Total Debt/Total Capital (MRQ),0.24920000000000003
Change in Debt/Total Capital Quarter over Quarter,-0.0002
Quick Ratio (MRQ),1.03
Interest Coverage (MRQ),20.72
researchTeam,rating-box
theStreet,rating-box
newConstructs,rating-box
ford,rating-box
cfra,
marketEdge opinion,
researchTeam since,2022-05-19 00:00:00
theStreet since,2022-05-19 00:00:00
newConstructs since,2022-11-26 00:00:00
ford since,2022-06-24 00:00:00
cfra since,
marketEdge opinion since,
