,2017,2018,2019,2020,2021,2022,Q4 2021,Q1 2022,Q2 2022,Q3 2022,Report
high,77.31,95.49,92.61,161.88,260.0,246.02,,,,,
low,69.78,50.03,45.32,53.29,147.6,97.36,,,,,
change,0.053,-0.2822,0.6636,0.7395999999999999,0.5143,-0.5063000000000001,,,,,
Date,,,,,,,2022-01-02 00:00:00,2022-04-03 00:00:00,2022-07-03 00:00:00,2022-10-02 00:00:00,Balance Sheet
Cash and Short Term Invs,,,,,,,54.0,45.0,50.0,63.0,Balance Sheet
"Trade Accts Recvble, Gross",,,,,,,407.0,452.0,543.0,521.0,Balance Sheet
Prov. for Doubtful Accts,,,,,,,-14.0,-15.0,-16.0,-18.0,Balance Sheet
"Trade Accts Recvble, Net",,,,,,,394.0,437.0,527.0,503.0,Balance Sheet
Other Receivables,,,,,,,3.0,0.0,0.0,0.0,Balance Sheet
"Total Receivables, Net",,,,,,,397.0,437.0,527.0,503.0,Balance Sheet
Total Inventory,,,,,,,637.0,854.0,865.0,854.0,Balance Sheet
Prepaid Expenses,,,,,,,41.0,50.0,56.0,57.0,Balance Sheet
Total Current Assets,,,,,,,1129.0,1386.0,1499.0,1476.0,Balance Sheet
Buildings,,,,,,,47.0,48.0,50.0,52.0,Balance Sheet
Land/Improvements,,,,,,,12.0,12.0,13.0,13.0,Balance Sheet
Machinery/Equipment,,,,,,,128.0,133.0,152.0,155.0,Balance Sheet
Construction in Progress,,,,,,,7.0,9.0,7.0,8.0,Balance Sheet
Other Prop./Plant/Equip.,,,,,,,402.0,412.0,415.0,435.0,Balance Sheet
Prop./Plant/Equip. - Gross,,,,,,,596.0,614.0,638.0,662.0,Balance Sheet
Accumulated Depreciation,,,,,,,-144.0,-154.0,-164.0,-176.0,Balance Sheet
Prop./Plant/Equip. - Net,,,,,,,452.0,461.0,474.0,486.0,Balance Sheet
"Goodwill, Net",,,,,,,311.0,326.0,361.0,387.0,Balance Sheet
Intangibles - Gross,,,,,,,429.0,445.0,484.0,516.0,Balance Sheet
Accum. Intangible Amort.,,,,,,,-215.0,-226.0,-236.0,-250.0,Balance Sheet
Intangibles - Net,,,,,,,214.0,219.0,248.0,267.0,Balance Sheet
Other Long Term Assets,,,,,,,7.0,13.0,11.0,14.0,Balance Sheet
Total Assets,,,,,,,2116.0,2407.0,2594.0,2632.0,Balance Sheet
Accounts Payable,,,,,,,255.0,390.0,342.0,340.0,Balance Sheet
Accrued Expenses,,,,,,,235.0,182.0,209.0,230.0,Balance Sheet
Notes Payable/ST Debt,,,,,,,0.0,0.0,0.0,0.0,Balance Sheet
Curr. Port. LT Dbt/Cap Ls.,,,,,,,15.0,15.0,16.0,17.0,Balance Sheet
Customer Advances,,,,,,,9.0,9.0,11.0,13.0,Balance Sheet
Income Taxes Payable,,,,,,,,2.0,35.0,7.0,Balance Sheet
"Other Curr. Lblts, Total",,,,,,,9.0,10.0,46.0,20.0,Balance Sheet
Total Current Liabilities,,,,,,,513.0,598.0,613.0,607.0,Balance Sheet
Long Term Debt,,,,,,,251.0,413.0,436.0,384.0,Balance Sheet
Capital Lease Obligations,,,,,,,34.0,33.0,35.0,39.0,Balance Sheet
Total Long Term Debt,,,,,,,286.0,446.0,471.0,422.0,Balance Sheet
