,DKS
% Below High,0.0687
% Held by Institutions,1.0034
52-Wk Range,['63.45 - 130.67']
Annual Dividend $,1.95
Annual Dividend %,0.016
Ask,122.2
Ask Size,300.0
B/A Ratio,1.0
B/A Size,300x300
Beta,1.5
Bid,121.15
Bid Size,300.0
Closing Price,121.69
Day Change $,2.71
Day Change %,0.022799999999999997
Day High,122.17
Day Low,117.79
Dividend Pay Date,2022-12-30 00:00:00
"EPS (TTM, GAAP)",11.1
Ex-dividend,2022-12-08 00:00:00
Ex-dividend Date,12/08/22
Historical Volatility,0.534
Last (size),1.0
Last (time),5:00p ET 11/25/22
Market Cap,9.6B
Market Edge Opinion:,Avoid
"P/E Ratio (TTM, GAAP)",10.96
Prev Close,118.98
Short Interest,0.2164
Today's Open,118.41
Volume,1121102.0
Volume 10-day Avg,2599106.0
Volume Past Day,(Light)
Next Earnings Announcement,2023-03-07 00:00:00
Growth Analysts,26.0
Growth 1yr Low Est,-0.23541666666666672
Growth 1yr High Est,-0.2113303628262253
Growth 1yr Consensus Est,-0.223373514746446
Growth 2yr Low Est,-0.24032413714804723
Growth 2yr High Est,-0.05925678754709174
Growth 2yr Consensus Est,-0.1497904623475695
Growth 5yr Low Est,0.43493471493907354
Growth 5yr High Est,0.49970881843085924
Growth 5yr Consensus Est,0.4673217666849664
Growth 5yr Actual/Est,0.498832577829145
Growth 3yr Historic,0.5559740156225091
Price/Earnings (TTM),10.96429
Price/Sales (TTM),0.83724
Price/Book (MRQ),4.12421
Price/Cash Flow (TTM),6.81681
5yr Low,13.46
5yr High,147.39
5yr Avg Return,0.32813333333333333
EPS Growth 5yr,0.40194620000000003
Revenue Growth 5yr,0.0918612
Dividend Growth 5yr,0.19510850000000002
Short Int Current Month,12367576.0
Short Int Prev Month,12532638.0
Short Int Pct of Float,0.2164399
Days to Cover,8.18035
Float,51.68889
Shares Outstanding,83.4115
Institutions Holding Shares,611.0
FCF Growth 5yr,0.332076566492721
"Price/Earnings (TTM, GAAP)",10.96
"PEG Ratio (TTM, GAAP)",
Gross Profit Margin (TTM),0.3611
Operating Profit Margin (TTM),0.1342
Net Profit Margin (TTM),0.09519999999999999
Annual Dividend Yield,0.016
Dividend Change %,0.5733
"Dividend Growth Rate, 3 Years",0.179
EPS Growth (MRQ),-0.2552
EPS Growth (TTM),-0.1426
Revenue Growth (MRQ),-0.0493
Revenue Growth (TTM),0.0047
Return On Equity (TTM),0.47009999999999996
Return On Assets (TTM),0.1361
Return On Investment (TTM),0.2002
Revenue Per Employee (TTM),681104.0
Total Debt/Total Capital (MRQ),0.40740000000000004
Change in Debt/Total Capital Quarter over Quarter,0.023100000000000002
Quick Ratio (MRQ),0.59
Interest Coverage (MRQ),12.46
researchTeam,rating-box
cfra,
ford,rating-box
newConstructs,rating-box
marketEdge opinion,
marketEdge,rating-box
researchTeam since,2022-11-25 00:00:00
cfra since,2021-11-23 00:00:00
ford since,2022-11-25 00:00:00
newConstructs since,2022-11-25 00:00:00
marketEdge opinion since,
marketEdge since,2020-08-27 00:00:00
