,SITM,Industry,Type,Ratio to Industry
"Price/Earnings (TTM, GAAP)",49.9,20.56,Valuation,2.4270428015564205
Price/Sales (TTM),7.11,7.41,Valuation,0.9595141700404859
Price/Book (MRQ),3.06,13.13,Valuation,0.23305407463823305
"PEG Ratio (TTM, GAAP)",7.23,0.9,Valuation,8.033333333333333
Gross Profit Margin (TTM),0.6609999999999999,0.5489,Profitability,1.2042266350883584
Operating Profit Margin (TTM),0.1409,0.25739999999999996,Profitability,0.5473970473970474
Net Profit Margin (TTM),0.1495,0.2224,Profitability,0.6722122302158273
Annual Dividend Yield,,0.014499999999999999,Dividend,
Dividend Change %,,0.0676,Dividend,
"Dividend Growth Rate, 3 Years",,0.091,Dividend,
EPS Growth (MRQ),-0.5481,1.5356,Gowth rates,-0.35692888773118
EPS Growth (TTM),1.9568,0.2274,Gowth rates,8.60510114335972
Revenue Growth (MRQ),-0.0796,0.1335,Gowth rates,-0.59625468164794
Revenue Growth (TTM),0.6282,0.24170000000000003,Gowth rates,2.5990897807199005
Return On Equity (TTM),0.08750000000000001,0.36920000000000003,Effectiveness,0.23699891657638136
Return On Assets (TTM),0.0808,0.16010000000000002,Effectiveness,0.5046845721424109
Return On Investment (TTM),0.0861,0.1925,Effectiveness,0.44727272727272727
Revenue Per Employee (TTM),1069918.0,898550.0,Effectiveness,1.19071615380335
Total Debt/Total Capital (MRQ),0.0,0.3576,Financial strength,0.0
Change in Debt/Total Capital Quarter over Quarter,,0.0,Financial strength,
Quick Ratio (MRQ),17.62,2.24,Financial strength,7.866071428571428
Interest Coverage (MRQ),,15.8,Financial strength,
