,2019,2020,2021,2022,Q4 2021,Q1 2022,Q2 2022,Q3 2022,Report
high,25.84,118.6,341.77,303.86,,,,,
low,16.05,15.42,75.81,73.1,,,,,
change,0.5089,3.305,1.5487000000000002,-0.6691,,,,,
Date,,,,,2021-12-31 00:00:00,2022-03-31 00:00:00,2022-06-30 00:00:00,2022-09-30 00:00:00,Balance Sheet
Cash & Equivalents,,,,,559.0,571.0,580.0,42.0,Balance Sheet
Short Term Investments,,,,,,,,522.0,Balance Sheet
Cash and Short Term Invs,,,,,559.0,571.0,580.0,564.0,Balance Sheet
"Trade Accts Recvble, Gross",,,,,38.0,31.0,39.0,45.0,Balance Sheet
Prov. for Doubtful Accts,,,,,0.0,0.0,0.0,0.0,Balance Sheet
"Trade Accts Recvble, Net",,,,,38.0,31.0,39.0,45.0,Balance Sheet
Other Receivables,,,,,0.0,,,,Balance Sheet
"Total Receivables, Net",,,,,38.0,31.0,39.0,45.0,Balance Sheet
Invent. - Finished Goods,,,,,5.0,7.0,7.0,8.0,Balance Sheet
Invent. - Work In Progress,,,,,17.0,20.0,24.0,32.0,Balance Sheet
Invent. - Raw Materials,,,,,2.0,4.0,4.0,6.0,Balance Sheet
Total Inventory,,,,,24.0,31.0,34.0,45.0,Balance Sheet
Prepaid Expenses,,,,,2.0,3.0,4.0,4.0,Balance Sheet
"Other Curr. Assets, Total",,,,,2.0,2.0,3.0,4.0,Balance Sheet
Total Current Assets,,,,,626.0,638.0,661.0,662.0,Balance Sheet
Buildings,,,,,5.0,5.0,6.0,7.0,Balance Sheet
Machinery/Equipment,,,,,2.0,2.0,2.0,3.0,Balance Sheet
Construction in Progress,,,,,7.0,8.0,9.0,8.0,Balance Sheet
Other Prop./Plant/Equip.,,,,,53.0,63.0,72.0,78.0,Balance Sheet
Prop./Plant/Equip. - Gross,,,,,67.0,79.0,89.0,95.0,Balance Sheet
Accumulated Depreciation,,,,,-21.0,-23.0,-25.0,-28.0,Balance Sheet
Prop./Plant/Equip. - Net,,,,,46.0,56.0,63.0,67.0,Balance Sheet
Intangibles - Gross,,,,,21.0,20.0,20.0,21.0,Balance Sheet
Accum. Intangible Amort.,,,,,-15.0,-15.0,-16.0,-16.0,Balance Sheet
Intangibles - Net,,,,,6.0,4.0,4.0,5.0,Balance Sheet
Other Long Term Assets,,,,,0.0,0.0,5.0,4.0,Balance Sheet
Total Assets,,,,,678.0,698.0,734.0,738.0,Balance Sheet
Accounts Payable,,,,,13.0,13.0,22.0,17.0,Balance Sheet
Accrued Expenses,,,,,24.0,22.0,22.0,18.0,Balance Sheet
Notes Payable/ST Debt,,,,,0.0,0.0,0.0,0.0,Balance Sheet
Total Current Liabilities,,,,,37.0,34.0,44.0,35.0,Balance Sheet
Total Long Term Debt,,,,,0.0,0.0,0.0,0.0,Balance Sheet
Total Debt,,,,,0.0,0.0,0.0,0.0,Balance Sheet
"Other Liabilities, Total",,,,,8.0,10.0,10.0,9.0,Balance Sheet
Total Liabilities,,,,,46.0,44.0,54.0,44.0,Balance Sheet
Common Stock,,,,,0.0,0.0,0.0,0.0,Balance Sheet
Additional Paid-In Capital,,,,,664.0,679.0,692.0,701.0,Balance Sheet
Ret. Earn.(Accum. Deficit),,,,,-31.0,-25.0,-12.0,-6.0,Balance Sheet
Total Equity,,,,,632.0,654.0,680.0,694.0,Balance Sheet
Total Liabilities & Shareholders’ Equity,,,,,678.0,698.0,734.0,738.0,Balance Sheet
Ttl Comm. Shares Outs.,,,,,21.0,21.0,21.0,21.0,Balance Sheet
Trsy. Shrs-Comm. Primary Iss.,,,,,0.0,0.0,0.0,0.0,Balance Sheet
Date,,,,,2021-12-31 00:00:00,2022-03-31 00:00:00,2022-06-30 00:00:00,2022-09-30 00:00:00,Income Statement
Total Revenue,,,,,75741.0,70253.0,79418.0,73095.0,Income Statement
