,SITM
% Above Low,0.3326
% Held by Institutions,0.7497
52-Wk Range,['73.10 - 341.77']
Annual Dividend $,
Annual Dividend %,
Ask,97.33
Ask Size,100.0
B/A Ratio,1.0
B/A Size,100x100
Beta,
Bid,96.93
Bid Size,100.0
Day Change $,-1.59
Day Change %,-0.0161
Day High,99.34
Day Low,96.95
Dividend Pay Date,No dividend
"EPS (TTM, GAAP)",1.98
Ex-dividend Date,No dividend
Historical Volatility,0.9450000000000001
Last (size),100.0
Last (time),2:16p ET 11/28/22
Market Cap,2.1B
"P/E Ratio (TTM, GAAP)",49.9
Prev Close,99.0
Price,97.41
Short Interest,0.11689999999999999
Today's Open,97.64
Volume Past Day,(Light)
Next Earnings Announcement,2023-02-01 00:00:00
Growth Analysts,6.0
Growth 1yr Low Est,
Growth 1yr High Est,
Growth 1yr Consensus Est,
Growth 2yr Low Est,-0.6179775280898876
Growth 2yr High Est,-0.34173669467787104
Growth 2yr Consensus Est,-0.4798571113838793
Growth 5yr Low Est,-0.6179775280898876
Growth 5yr High Est,-0.34173669467787104
Growth 5yr Consensus Est,-0.4798571113838793
Growth 5yr Actual/Est,0.9028460255568134
Growth 3yr Historic,0.9750690131124913
Price/Earnings (TTM),49.89844
Price/Sales (TTM),7.11042
Price/Book (MRQ),3.05593
Price/Cash Flow (TTM),37.69129
5yr Low,15.42
5yr High,341.77
5yr Avg Return,1.173375
Short Int Current Month,1897947.0
Short Int Prev Month,1883417.0
Short Int Pct of Float,0.1169042
Days to Cover,4.05117
Float,16.18717
Shares Outstanding,21.43949
Institutions Holding Shares,277.0
FCF Growth 5yr,-0.23052287581699346
EPS Growth 5yr,
Revenue Growth 5yr,
Dividend Growth 5yr,
"Price/Earnings (TTM, GAAP)",49.9
"PEG Ratio (TTM, GAAP)",7.23
Gross Profit Margin (TTM),0.6609999999999999
Operating Profit Margin (TTM),0.1409
Net Profit Margin (TTM),0.1495
Annual Dividend Yield,
Dividend Change %,
"Dividend Growth Rate, 3 Years",
EPS Growth (MRQ),-0.5481
EPS Growth (TTM),1.9568
Revenue Growth (MRQ),-0.0796
Revenue Growth (TTM),0.6282
Return On Equity (TTM),0.08750000000000001
Return On Assets (TTM),0.0808
Return On Investment (TTM),0.0861
Revenue Per Employee (TTM),1069918.0
Total Debt/Total Capital (MRQ),0.0
Change in Debt/Total Capital Quarter over Quarter,
Quick Ratio (MRQ),17.62
Interest Coverage (MRQ),
researchTeam,rating-box
theStreet,rating-box
newConstructs,rating-box
ford,rating-box
cfra,
marketEdge opinion,
researchTeam since,2022-11-22 00:00:00
theStreet since,2022-11-22 00:00:00
newConstructs since,2022-11-26 00:00:00
ford since,2022-07-08 00:00:00
cfra since,
marketEdge opinion since,
