,VSEC
% Above Low,0.5074000000000001
% Held by Institutions,0.6659999999999999
52-Wk Range,['31.85 - 64.29']
Annual Dividend $,0.4
Annual Dividend %,0.008199999999999999
Ask,48.25
Ask Size,100.0
B/A Ratio,3.0
B/A Size,300x100
Beta,1.5
Bid,48.0
Bid Size,300.0
Closing Price,48.01
Day Change $,-0.77
Day Change %,-0.0158
Day High,48.41
Day Low,47.67
Dividend Pay Date,2022-11-16 00:00:00
"EPS (TTM, GAAP)",2.29
Ex-dividend,2022-11-01 00:00:00
Ex-dividend Date,11/01/22
Historical Volatility,0.452
Last (size),450.0
Last (time),3:59p ET 11/28/22
Market Cap,614.4M
Market Edge Opinion:,Long
"P/E Ratio (TTM, GAAP)",21.34
Prev Close,48.78
Short Interest,0.0073
Today's Open,48.32
Volume,29393.0
Volume 10-day Avg,29654.0
Volume Past Day,(Average)
Price/Earnings (TTM),21.3369
Price/Sales (TTM),0.67454
Price/Book (MRQ),1.40173
Price/Cash Flow (TTM),11.2922
5yr Low,13.83
5yr High,65.42
5yr Avg Return,0.04053333333333334
EPS Growth 5yr,-0.2392276
Revenue Growth 5yr,0.0165205
Dividend Growth 5yr,0.099752
Short Int Current Month,90923.0
Short Int Prev Month,107887.0
Short Int Pct of Float,0.0073248
Days to Cover,2.25448
Float,12.41819
Shares Outstanding,12.79968
Institutions Holding Shares,131.0
FCF Growth 5yr,-0.20792498902256087
"Price/Earnings (TTM, GAAP)",21.34
"PEG Ratio (TTM, GAAP)",
Gross Profit Margin (TTM),0.0828
Operating Profit Margin (TTM),0.0584
Net Profit Margin (TTM),0.0318
Annual Dividend Yield,0.008199999999999999
Dividend Change %,-0.1778
"Dividend Growth Rate, 3 Years",0.0724
EPS Growth (MRQ),0.24559999999999998
EPS Growth (TTM),2.2635
Revenue Growth (MRQ),0.0032
Revenue Growth (TTM),0.3401
Return On Equity (TTM),0.0687
Return On Assets (TTM),0.031400000000000004
Return On Investment (TTM),0.0386
Revenue Per Employee (TTM),370247.0
Total Debt/Total Capital (MRQ),0.4006
Change in Debt/Total Capital Quarter over Quarter,-0.0004
Quick Ratio (MRQ),0.91
Interest Coverage (MRQ),3.58
researchTeam,rating-box
theStreet,rating-box
newConstructs,rating-box
ford,rating-box
cfra,
marketEdge opinion,
researchTeam since,2022-08-20 00:00:00
theStreet since,2022-10-24 00:00:00
newConstructs since,2022-11-26 00:00:00
ford since,2022-08-12 00:00:00
cfra since,
marketEdge opinion since,
