,FISV,Industry,Type,Ratio to Industry
"Price/Earnings (TTM, GAAP)",32.19,53.12,Valuation,0.6059864457831325
Price/Sales (TTM),3.75,19.35,Valuation,0.19379844961240308
Price/Book (MRQ),2.15,19.03,Valuation,0.11297950604308984
"PEG Ratio (TTM, GAAP)",2.15,3.41,Valuation,0.6304985337243402
Gross Profit Margin (TTM),0.5269,0.44520000000000004,Profitability,1.1835130278526504
Operating Profit Margin (TTM),0.1782,0.3027,Profitability,0.5887016848364717
Net Profit Margin (TTM),0.1093,0.23600000000000002,Profitability,0.4631355932203389
Annual Dividend Yield,,0.010400000000000001,Dividend,
Dividend Change %,,0.0818,Dividend,
"Dividend Growth Rate, 3 Years",,0.1223,Dividend,
EPS Growth (MRQ),-0.1884,-3.5570999999999997,Gowth rates,0.05296449354811505
EPS Growth (TTM),0.6528,0.15560000000000002,Gowth rates,4.195372750642673
Revenue Growth (MRQ),0.015300000000000001,0.16460000000000002,Gowth rates,0.09295261239368165
Revenue Growth (TTM),0.0989,0.2273,Gowth rates,0.43510778706555214
Return On Equity (TTM),0.0672,0.5459,Effectiveness,0.12309946876717345
Return On Assets (TTM),0.025099999999999997,0.1131,Effectiveness,0.22192749778956672
Return On Investment (TTM),0.0335,0.189,Effectiveness,0.17724867724867727
Revenue Per Employee (TTM),394614.0,686063.0,Effectiveness,0.5751862438289195
Total Debt/Total Capital (MRQ),0.40700000000000003,0.5613,Financial strength,0.7251024407625156
Change in Debt/Total Capital Quarter over Quarter,0.0002,0.0048,Financial strength,0.04166666666666667
Quick Ratio (MRQ),,0.16,Financial strength,
Interest Coverage (MRQ),4.71,27.21,Financial strength,0.1730981256890849
