,FISV
Price/Earnings (TTM),32.18917
Price/Sales (TTM),3.74843
Price/Book (MRQ),2.14943
Price/Cash Flow (TTM),12.82191
5yr Low,62.76
5yr High,127.34
5yr Avg Return,0.10325000000000001
EPS Growth 5yr,-0.008873299999999999
Revenue Growth 5yr,0.2413402
Dividend Growth 5yr,
Short Int Current Month,8915771.0
Short Int Prev Month,10341960.0
Short Int Pct of Float,0.014380299999999999
Days to Cover,1.77501
Float,621.7471
Shares Outstanding,635.0281
Institutions Holding Shares,1738.0
% Held by Institutions,0.904801
FCF Growth 5yr,0.36808219064195297
