,NAVI
% Above Low,0.31570000000000004
% Held by Institutions,0.9326000000000001
52-Wk Range,['12.45 - 22.59']
Annual Dividend $,0.64
Annual Dividend %,0.0391
Ask,16.99
Ask Size,100.0
Ask close,20.2
B/A Ratio,1.0
B/A Size,100x100
Beta,1.6
Bid,15.31
Bid Size,100.0
Bid close,12.57
Change Since Close,-0.04| |(-0.24%)
Closing Price,16.38
Day Change $,
Day Change %,
Day High,
Day Low,
Dividend Pay Date,2022-12-16 00:00:00
"EPS (TTM, GAAP)",3.57
Ex-dividend,2022-12-01 00:00:00
Ex-dividend Date,12/01/22
Historical Volatility,0.44799999999999995
Last (size),62.0
Last (time),1:00p ET 11/25/22
Last Trade,16.34
Market Cap,2.2B
Market Edge Opinion:,Long
"P/E Ratio (TTM, GAAP)",4.59
Prev Close,16.38
Short Interest,0.056299999999999996
Today's Open,
Volume,230.0
Volume 10-day Avg,964605.0
Volume Past Day,(Light)
Next Earnings Announcement,2023-01-24 00:00:00
Growth Analysts,6.0
Growth 1yr Low Est,-0.009230769230769154
Growth 1yr High Est,0.04268292682926833
Growth 1yr Consensus Est,0.01672607879924959
Growth 2yr Low Est,-0.13970855231724794
Growth 2yr High Est,-0.022518185708172822
Growth 2yr Consensus Est,-0.08111336901271038
Growth 5yr Low Est,0.002566358762010973
Growth 5yr High Est,0.05905340714591359
Growth 5yr Consensus Est,0.03080988295396228
Growth 5yr Actual/Est,0.038678592327323874
Growth 3yr Historic,0.0629524886877828
Price/Earnings (TTM),4.5931
Price/Sales (TTM),1.3923
Price/Book (MRQ),0.7493
Price/Cash Flow (TTM),
5yr Low,4.07
5yr High,23.8
5yr Avg Return,0.16076666666666664
EPS Growth 5yr,0.1453538
Revenue Growth 5yr,-0.022362299999999998
Dividend Growth 5yr,0.0
Short Int Current Month,7371139.0
Short Int Prev Month,7595453.0
Short Int Pct of Float,0.0562859
Days to Cover,7.48934
Float,130.957
Shares Outstanding,136.0
Institutions Holding Shares,340.0
FCF Growth 5yr,
"Price/Earnings (TTM, GAAP)",4.59
"PEG Ratio (TTM, GAAP)",
Gross Profit Margin (TTM),1.0488
Operating Profit Margin (TTM),0.44
Net Profit Margin (TTM),0.3306
Annual Dividend Yield,0.0391
Dividend Change %,0.0
"Dividend Growth Rate, 3 Years",0.0
EPS Growth (MRQ),-0.3918
EPS Growth (TTM),-0.29600000000000004
Revenue Growth (MRQ),-0.21760000000000002
Revenue Growth (TTM),-0.1575
Return On Equity (TTM),0.1857
Return On Assets (TTM),0.0068000000000000005
Return On Investment (TTM),0.0072
Revenue Per Employee (TTM),369515.0
Total Debt/Total Capital (MRQ),0.9591
Change in Debt/Total Capital Quarter over Quarter,-0.0001
Quick Ratio (MRQ),
Interest Coverage (MRQ),
newConstructs,rating-box
researchTeam,rating-box
theStreet,rating-box
ford,rating-box
cfra,
marketEdge opinion,
newConstructs since,2022-11-28 00:00:00
researchTeam since,2015-04-24 00:00:00
theStreet since,2022-01-26 00:00:00
ford since,2022-10-14 00:00:00
cfra since,
marketEdge opinion since,
