,NAVI,Industry,Type,Ratio to Industry
"Price/Earnings (TTM, GAAP)",4.59,8.59,Valuation,0.5343422584400466
Price/Sales (TTM),1.39,1.88,Valuation,0.7393617021276596
Price/Book (MRQ),0.75,3.02,Valuation,0.24834437086092714
"PEG Ratio (TTM, GAAP)",,1.78,Valuation,
Gross Profit Margin (TTM),1.0488,0.38079999999999997,Profitability,2.754201680672269
Operating Profit Margin (TTM),0.44,0.2543,Profitability,1.7302398741643725
Net Profit Margin (TTM),0.3306,0.19039999999999999,Profitability,1.736344537815126
Annual Dividend Yield,0.0391,0.0187,Dividend,2.090909090909091
Dividend Change %,0.0,0.242,Dividend,0.0
"Dividend Growth Rate, 3 Years",0.0,0.0575,Dividend,0.0
EPS Growth (MRQ),-0.3918,-0.1573,Gowth rates,2.4907819453274
EPS Growth (TTM),-0.29600000000000004,-0.04820000000000001,Gowth rates,6.141078838174274
Revenue Growth (MRQ),-0.21760000000000002,0.2511,Gowth rates,-0.8665870171246516
Revenue Growth (TTM),-0.1575,0.21670000000000003,Gowth rates,-0.7268112598061836
Return On Equity (TTM),0.1857,0.2596,Effectiveness,0.715331278890601
Return On Assets (TTM),0.0068000000000000005,0.0326,Effectiveness,0.20858895705521477
Return On Investment (TTM),0.0072,0.0432,Effectiveness,0.16666666666666666
Revenue Per Employee (TTM),369515.0,448656.0,Effectiveness,0.8236042758817446
Total Debt/Total Capital (MRQ),0.9591,0.4919,Financial strength,1.949786541980077
Change in Debt/Total Capital Quarter over Quarter,-0.0001,0.0012,Financial strength,-0.08333333333333334
Quick Ratio (MRQ),,0.05,Financial strength,
Interest Coverage (MRQ),,16.82,Financial strength,
