,AYI
% Below High,0.1366
% Held by Institutions,0.9912000000000001
52-Wk Range,['142.71 - 220.97']
Annual Dividend $,0.52
Annual Dividend %,0.0027
Ask,195.9
Ask Size,300.0
B/A Ratio,1.6666666666666667
B/A Size,500x300
Beta,1.5
Bid,179.29
Bid Size,500.0
Closing Price,190.78
Day Change $,0.14
Day Change %,0.0007000000000000001
Day High,192.38
Day Low,189.87
Dividend Pay Date,2022-11-01 00:00:00
"EPS (TTM, GAAP)",11.13
Ex-dividend,2022-10-14 00:00:00
Ex-dividend Date,10/14/22
Historical Volatility,0.36100000000000004
Last (size),2.0
Last (time),5:00p ET 11/25/22
Market Cap,6.1B
Market Edge Opinion:,Long
"P/E Ratio (TTM, GAAP)",17.13
Prev Close,190.64
Short Interest,0.044000000000000004
Today's Open,191.75
Volume,67747.0
Volume 10-day Avg,195471.0
Volume Past Day,(Light)
Next Earnings Announcement,2023-01-06 00:00:00
Growth Analysts,10.0
Growth 1yr Low Est,0.04690117252931336
Growth 1yr High Est,0.09765625
Growth 1yr Consensus Est,0.07227871126465668
Growth 2yr Low Est,0.003450586264656663
Growth 2yr High Est,0.10256477980427048
Growth 2yr Consensus Est,0.05300768303446357
Growth 5yr Low Est,0.12436786794881621
Growth 5yr High Est,0.17541864294349774
Growth 5yr Consensus Est,0.14989325544615698
Growth 5yr Actual/Est,0.1545601178195234
Growth 3yr Historic,0.12282491478005708
Price/Earnings (TTM),17.13344
Price/Sales (TTM),1.53146
Price/Book (MRQ),3.24193
Price/Cash Flow (TTM),12.81365
5yr Low,67.46
5yr High,224.59
5yr Avg Return,0.07648333333333335
EPS Growth 5yr,0.0832919
Revenue Growth 5yr,0.027080000000000003
Dividend Growth 5yr,0.0
Short Int Current Month,1407241.0
Short Int Prev Month,1323107.0
Short Int Pct of Float,0.044040600000000006
Days to Cover,6.05137
Float,31.96219
Shares Outstanding,32.15839
Institutions Holding Shares,486.0
FCF Growth 5yr,0.5464964266450917
"Price/Earnings (TTM, GAAP)",17.13
"PEG Ratio (TTM, GAAP)",
Gross Profit Margin (TTM),0.4175
Operating Profit Margin (TTM),0.1272
Net Profit Margin (TTM),0.0959
Annual Dividend Yield,0.0027
Dividend Change %,0.0
"Dividend Growth Rate, 3 Years",0.0
EPS Growth (MRQ),0.1285
EPS Growth (TTM),0.3245
Revenue Growth (MRQ),0.046900000000000004
Revenue Growth (TTM),0.1575
Return On Equity (TTM),0.1941
Return On Assets (TTM),0.10890000000000001
Return On Investment (TTM),0.13640000000000002
Revenue Per Employee (TTM),303492.0
Total Debt/Total Capital (MRQ),0.2116
Change in Debt/Total Capital Quarter over Quarter,0.0007000000000000001
Quick Ratio (MRQ),1.34
Interest Coverage (MRQ),22.0
researchTeam,rating-box
cfra,
ford,rating-box
newConstructs,rating-box
marketEdge opinion,
marketEdge,rating-box
researchTeam since,2022-08-20 00:00:00
cfra since,2022-01-07 00:00:00
ford since,2022-11-11 00:00:00
newConstructs since,2022-11-25 00:00:00
marketEdge opinion since,
marketEdge since,2020-12-01 00:00:00
