,AVAV
% Below High,0.1931
% Held by Institutions,0.8833
52-Wk Range,['52.03 - 114.11']
Annual Dividend $,
Annual Dividend %,
Ask,94.59
Ask Size,500.0
B/A Ratio,2.0
B/A Size,1000x500
Beta,0.5
Bid,92.02
Bid Size,1000.0
Closing Price,92.08
Day Change $,1.79
Day Change %,0.019799999999999998
Day High,93.8
Day Low,90.29
Dividend Pay Date,No dividend
"EPS (TTM, GAAP)",0.06
Ex-dividend Date,No dividend
Historical Volatility,0.637
Last (size),3.0
Last (time),12:59p ET 11/25/22
Market Cap,2.3B
Market Edge Opinion:,Long
"P/E Ratio (TTM, GAAP)",1631.47
Prev Close,90.29
Short Interest,0.044199999999999996
Today's Open,90.42
Volume,95028.0
Volume 10-day Avg,205944.0
Volume Past Day,(Light)
Next Earnings Announcement,2022-12-06 00:00:00
Growth Analysts,8.0
Growth 1yr Low Est,-0.16568047337278113
Growth 1yr High Est,-0.08196721311475419
Growth 1yr Consensus Est,-0.12382384324376766
Growth 2yr Low Est,0.06254983423559529
Growth 2yr High Est,0.40246877439500384
Growth 2yr Consensus Est,0.23250930431529956
Growth 5yr Low Est,0.031274917117797646
Growth 5yr High Est,0.20123438719750192
Growth 5yr Consensus Est,0.11625465215764978
Growth 5yr Actual/Est,0.11278529229470793
Growth 3yr Historic,-0.06586438923395446
Price/Earnings (TTM),1631.467
Price/Sales (TTM),5.07678
Price/Book (MRQ),3.83571
Price/Cash Flow (TTM),40.16752
5yr Low,41.6
5yr High,143.72
5yr Avg Return,0.16080000000000003
EPS Growth 5yr,
Revenue Growth 5yr,0.1384251
Dividend Growth 5yr,
Short Int Current Month,1089446.0
Short Int Prev Month,1097862.0
Short Int Pct of Float,0.044172399999999994
Days to Cover,6.29807
Float,24.66298
Shares Outstanding,24.9891
Institutions Holding Shares,336.0
FCF Growth 5yr,-0.031952332850096576
"Price/Earnings (TTM, GAAP)",1631.47
"PEG Ratio (TTM, GAAP)",
Gross Profit Margin (TTM),0.3226
Operating Profit Margin (TTM),0.012
Net Profit Margin (TTM),-0.0086
Annual Dividend Yield,
Dividend Change %,
"Dividend Growth Rate, 3 Years",
EPS Growth (MRQ),-2.1550000000000002
EPS Growth (TTM),2.8038
Revenue Growth (MRQ),-0.1818
Revenue Growth (TTM),0.10960000000000002
Return On Equity (TTM),0.0023
Return On Assets (TTM),-0.0043
Return On Investment (TTM),-0.0048
Revenue Per Employee (TTM),373344.0
Total Debt/Total Capital (MRQ),0.2361
Change in Debt/Total Capital Quarter over Quarter,-0.0004
Quick Ratio (MRQ),2.7
Interest Coverage (MRQ),-2.04
researchTeam,rating-box
ford,rating-box
newConstructs,rating-box
cfra,
marketEdge opinion,
marketEdge,rating-box
researchTeam since,2022-09-02 00:00:00
ford since,2022-09-02 00:00:00
newConstructs since,2022-11-25 00:00:00
cfra since,
marketEdge opinion since,
marketEdge since,2021-03-10 00:00:00
