,AVAV,Industry,Type,Ratio to Industry
"Price/Earnings (TTM, GAAP)",1631.47,50.64,Valuation,32.217022116903635
Price/Sales (TTM),5.08,4.74,Valuation,1.0717299578059072
Price/Book (MRQ),3.84,4.28,Valuation,0.8971962616822429
"PEG Ratio (TTM, GAAP)",,1.95,Valuation,
Gross Profit Margin (TTM),0.3226,0.19460000000000002,Profitability,1.6577595066803699
Operating Profit Margin (TTM),0.012,-0.5263,Profitability,-0.022800684020520618
Net Profit Margin (TTM),-0.0086,-0.5391,Profitability,0.015952513448339825
Annual Dividend Yield,,0.0139,Dividend,
Dividend Change %,,0.0564,Dividend,
"Dividend Growth Rate, 3 Years",,0.0055000000000000005,Dividend,
EPS Growth (MRQ),-2.1550000000000002,-3.8235,Gowth rates,0.5636197201516935
EPS Growth (TTM),2.8038,0.2595,Gowth rates,10.804624277456647
Revenue Growth (MRQ),-0.1818,0.0689,Gowth rates,-2.6386066763425253
Revenue Growth (TTM),0.10960000000000002,0.0147,Gowth rates,7.455782312925171
Return On Equity (TTM),0.0023,0.1825,Effectiveness,0.012602739726027398
Return On Assets (TTM),-0.0043,0.047,Effectiveness,-0.09148936170212765
Return On Investment (TTM),-0.0048,0.0521,Effectiveness,-0.09213051823416506
Revenue Per Employee (TTM),373344.0,411752.0,Effectiveness,0.9067205502341215
Total Debt/Total Capital (MRQ),0.2361,0.5861,Financial strength,0.4028322811806859
Change in Debt/Total Capital Quarter over Quarter,-0.0004,-0.0001,Financial strength,4.0
Quick Ratio (MRQ),2.7,1.06,Financial strength,2.547169811320755
Interest Coverage (MRQ),-2.04,7.88,Financial strength,-0.25888324873096447
