,AA
% Above Low,0.4274
% Held by Institutions,0.7951
52-Wk Range,['33.55 - 98.09']
Annual Dividend $,0.4
Annual Dividend %,0.0084
Ask,47.89
Ask Size,1000.0
B/A Ratio,0.2
B/A Size,200x1000
Beta,2.4
Bid,47.62
Bid Size,200.0
Closing Price,47.89
Day Change $,-0.62
Day Change %,-0.0128
Day High,48.94
Day Low,47.61
Dividend Pay Date,2022-11-18 00:00:00
"EPS (TTM, GAAP)",-0.86
Ex-dividend,2022-10-31 00:00:00
Ex-dividend Date,10/31/22
Historical Volatility,0.6659999999999999
Last (size),115.0
Last (time),5:00p ET 11/25/22
Market Cap,8.5B
Market Edge Opinion:,Long
"P/E Ratio (TTM, GAAP)",
Prev Close,48.51
Short Interest,0.0602
Today's Open,48.55
Volume,1687359.0
Volume 10-day Avg,6501612.0
Volume Past Day,(Light)
Next Earnings Announcement,2023-01-18 00:00:00
Growth Analysts,12.0
Growth 1yr Low Est,
Growth 1yr High Est,
Growth 1yr Consensus Est,
Growth 2yr Low Est,1.2835820895522385
Growth 2yr High Est,-0.014814814814814836
Growth 2yr Consensus Est,0.6343836373687118
Growth 5yr Low Est,1.2835820895522385
Growth 5yr High Est,-0.014814814814814836
Growth 5yr Consensus Est,0.6343836373687118
Growth 5yr Actual/Est,-1.8127876003083148
Growth 3yr Historic,-1.6790534656913967
Price/Earnings (TTM),
Price/Sales (TTM),0.64545
Price/Book (MRQ),1.57764
Price/Cash Flow (TTM),11.70376
5yr Low,5.16
5yr High,98.09
5yr Avg Return,0.16171666666666668
EPS Growth 5yr,
Revenue Growth 5yr,0.054544699999999995
Dividend Growth 5yr,
Short Int Current Month,10557332.0
Short Int Prev Month,8646262.0
Short Int Pct of Float,0.0602214
Days to Cover,1.46924
Float,175.3547
Shares Outstanding,176.9372
Institutions Holding Shares,684.0
FCF Growth 5yr,-3.9283491778629283
"Price/Earnings (TTM, GAAP)",
"PEG Ratio (TTM, GAAP)",
Gross Profit Margin (TTM),0.23829999999999998
Operating Profit Margin (TTM),0.0378
Net Profit Margin (TTM),0.0068000000000000005
Annual Dividend Yield,0.0084
Dividend Change %,
"Dividend Growth Rate, 3 Years",
EPS Growth (MRQ),-2.412
EPS Growth (TTM),-1.201
Revenue Growth (MRQ),-0.21760000000000002
Revenue Growth (TTM),0.17170000000000002
Return On Equity (TTM),-0.0259
Return On Assets (TTM),0.0061
Return On Investment (TTM),0.0089
Revenue Per Employee (TTM),1076066.0
Total Debt/Total Capital (MRQ),0.2003
Change in Debt/Total Capital Quarter over Quarter,-0.0005
Quick Ratio (MRQ),1.0
Interest Coverage (MRQ),-0.27
researchTeam,rating-box
cfra,
ford,rating-box
newConstructs,rating-box
marketEdge opinion,
marketEdge,rating-box
researchTeam since,2022-09-23 00:00:00
cfra since,2022-04-23 00:00:00
ford since,2022-09-23 00:00:00
newConstructs since,2022-11-25 00:00:00
marketEdge opinion since,
marketEdge since,2022-10-20 00:00:00
