,AA,Industry,Type,Ratio to Industry
"Price/Earnings (TTM, GAAP)",,8.08,Valuation,
Price/Sales (TTM),0.65,26.91,Valuation,0.024154589371980676
Price/Book (MRQ),1.58,2.97,Valuation,0.531986531986532
"PEG Ratio (TTM, GAAP)",,0.16,Valuation,
Gross Profit Margin (TTM),0.23829999999999998,0.375,Profitability,0.6354666666666666
Operating Profit Margin (TTM),0.0378,0.1536,Profitability,0.24609375000000003
Net Profit Margin (TTM),0.0068000000000000005,-0.0743,Profitability,-0.09152086137281291
Annual Dividend Yield,0.0084,0.0221,Dividend,0.3800904977375565
Dividend Change %,,1.2769,Dividend,
"Dividend Growth Rate, 3 Years",,0.1663,Dividend,
EPS Growth (MRQ),-2.412,2.9959,Gowth rates,-0.8051003037484562
EPS Growth (TTM),-1.201,0.5015,Gowth rates,-2.3948155533399804
Revenue Growth (MRQ),-0.21760000000000002,-0.0395,Gowth rates,5.508860759493671
Revenue Growth (TTM),0.17170000000000002,0.19710000000000003,Gowth rates,0.8711314053779807
Return On Equity (TTM),-0.0259,0.2866,Effectiveness,-0.09036985345429169
Return On Assets (TTM),0.0061,0.08710000000000001,Effectiveness,0.07003444316877153
Return On Investment (TTM),0.0089,0.1716,Effectiveness,0.051864801864801864
Revenue Per Employee (TTM),1076066.0,1553496.0,Effectiveness,0.6926738144160011
Total Debt/Total Capital (MRQ),0.2003,0.3055,Financial strength,0.6556464811783961
Change in Debt/Total Capital Quarter over Quarter,-0.0005,0.0382,Financial strength,-0.013089005235602096
Quick Ratio (MRQ),1.0,2.21,Financial strength,0.45248868778280543
Interest Coverage (MRQ),-0.27,28.97,Financial strength,-0.00931998619261305
