,UFPI
% Below High,0.1536
% Held by Institutions,0.831
52-Wk Range,['64.13 - 94.80']
Annual Dividend $,1.0
Annual Dividend %,0.0123
Ask,80.85
Ask Size,100.0
B/A Ratio,1.0
B/A Size,100x100
Beta,1.5
Bid,79.84
Bid Size,100.0
Closing Price,80.24
Day Change $,-1.32
Day Change %,-0.016200000000000003
Day High,81.85
Day Low,79.64
Dividend Pay Date,2022-12-15 00:00:00
"EPS (TTM, GAAP)",11.13
Ex-dividend,2022-11-30 00:00:00
Ex-dividend Date,11/30/22
Historical Volatility,0.395
Last (size),12100.0
Last (time),4:00p ET 11/28/22
Market Cap,4.9B
Market Edge Opinion:,Long
"P/E Ratio (TTM, GAAP)",7.33
Prev Close,81.56
Short Interest,0.0275
Today's Open,80.7
Volume,427912.0
Volume 10-day Avg,217834.0
Volume Past Day,(Heavy Day)
Next Earnings Announcement,2023-02-15 00:00:00
Growth Analysts,6.0
Growth 1yr Low Est,2.6643356643356646
Growth 1yr High Est,2.7705479452054793
Growth 1yr Consensus Est,2.717441804770572
Growth 2yr Low Est,1.16327470239684
Growth 2yr High Est,1.2980805121122765
Growth 2yr Consensus Est,1.2306776072545582
Growth 5yr Low Est,0.58163735119842
Growth 5yr High Est,0.6490402560561382
Growth 5yr Consensus Est,0.6153388036272791
Growth 5yr Actual/Est,0.3788324946612125
Growth 3yr Historic,0.37643569514111186
Price/Earnings (TTM),7.33109
Price/Sales (TTM),0.51667
Price/Book (MRQ),2.06278
Price/Cash Flow (TTM),6.06089
5yr Low,24.14
5yr High,94.8
5yr Avg Return,0.19911666666666666
EPS Growth 5yr,0.3902496
Revenue Growth 5yr,0.21658280000000002
Dividend Growth 5yr,0.1751764
Short Int Current Month,1645132.0
Short Int Prev Month,1724660.0
Short Int Pct of Float,0.027494200000000003
Days to Cover,7.28747
Float,59.89145
Shares Outstanding,61.63751
Institutions Holding Shares,440.0
FCF Growth 5yr,6.481827602976238
"Price/Earnings (TTM, GAAP)",7.33
"PEG Ratio (TTM, GAAP)",
Gross Profit Margin (TTM),0.18539999999999998
Operating Profit Margin (TTM),0.10039999999999999
Net Profit Margin (TTM),0.07400000000000001
Annual Dividend Yield,0.0123
Dividend Change %,0.3
"Dividend Growth Rate, 3 Years",0.2177
EPS Growth (MRQ),-0.17670000000000002
EPS Growth (TTM),0.5037
Revenue Growth (MRQ),-0.1993
Revenue Growth (TTM),0.2143
Return On Equity (TTM),0.31320000000000003
Return On Assets (TTM),0.2133
Return On Investment (TTM),0.276
Revenue Per Employee (TTM),648656.0
Total Debt/Total Capital (MRQ),0.11480000000000001
Change in Debt/Total Capital Quarter over Quarter,-0.0019
Quick Ratio (MRQ),1.78
Interest Coverage (MRQ),37.14
researchTeam,rating-box
theStreet,rating-box
newConstructs,rating-box
ford,rating-box
cfra,
marketEdge opinion,
researchTeam since,2022-11-25 00:00:00
theStreet since,2012-12-28 00:00:00
newConstructs since,2022-11-26 00:00:00
ford since,2022-11-25 00:00:00
cfra since,
marketEdge opinion since,
