,MWA
% Above Low,0.17739999999999997
% Held by Institutions,0.9505
52-Wk Range,['9.90 - 14.62']
Annual Dividend $,0.244
Annual Dividend %,0.0209
Ask,12.0
Ask Size,100.0
B/A Ratio,30.0
B/A Size,3000x100
Beta,1.3
Bid,11.5
Bid Size,3000.0
Closing Price,11.65
Day Change $,
Day Change %,
Day High,
Day Low,
Dividend Pay Date,2022-11-21 00:00:00
"EPS (TTM, GAAP)",0.49
Ex-dividend,2022-11-09 00:00:00
Ex-dividend Date,11/09/22
Historical Volatility,0.302
Last (size),74.0
Last (time),5:00p ET 11/25/22
Market Cap,1.8B
Market Edge Opinion:,Long
"P/E Ratio (TTM, GAAP)",24.01
Prev Close,11.65
Short Interest,0.0184
Today's Open,
Volume,321260.0
Volume 10-day Avg,1123101.0
Volume Past Day,(Light)
Next Earnings Announcement,2023-02-02 00:00:00
Growth Analysts,9.0
Growth 1yr Low Est,0.14583333333333348
Growth 1yr High Est,0.3846153846153846
Growth 1yr Consensus Est,0.26522435897435903
Growth 2yr Low Est,0.13655303030303034
Growth 2yr High Est,0.24786324786324787
Growth 2yr Consensus Est,0.1922081390831391
Growth 5yr Low Est,0.06827651515151517
Growth 5yr High Est,0.12393162393162394
Growth 5yr Consensus Est,0.09610406954156955
Growth 5yr Actual/Est,0.08917765962485796
Growth 3yr Historic,0.02815934065934067
Price/Earnings (TTM),24.00725
Price/Sales (TTM),1.45594
Price/Book (MRQ),2.71266
Price/Cash Flow (TTM),13.24682
5yr Low,6.64
5yr High,17.37
5yr Avg Return,0.01076666666666667
EPS Growth 5yr,0.0763411
Revenue Growth 5yr,0.08593830000000001
Dividend Growth 5yr,0.0911372
Short Int Current Month,2819507.0
Short Int Prev Month,3207444.0
Short Int Pct of Float,0.0183525
Days to Cover,2.45693
Float,153.6097
Shares Outstanding,155.8918
Institutions Holding Shares,317.0
FCF Growth 5yr,-1.6908770242103577
"Price/Earnings (TTM, GAAP)",24.01
"PEG Ratio (TTM, GAAP)",
Gross Profit Margin (TTM),0.292
Operating Profit Margin (TTM),0.0895
Net Profit Margin (TTM),0.061399999999999996
Annual Dividend Yield,0.0209
Dividend Change %,0.0545
"Dividend Growth Rate, 3 Years",0.0464
EPS Growth (MRQ),-0.7313
EPS Growth (TTM),0.0977
Revenue Growth (MRQ),-0.0054
Revenue Growth (TTM),0.12279999999999999
Return On Equity (TTM),0.11230000000000001
Return On Assets (TTM),0.050800000000000005
Return On Investment (TTM),0.06
Revenue Per Employee (TTM),346500.0
Total Debt/Total Capital (MRQ),0.4004
Change in Debt/Total Capital Quarter over Quarter,0.0001
Quick Ratio (MRQ),1.67
Interest Coverage (MRQ),5.64
newConstructs,rating-box
researchTeam,rating-box
theStreet,rating-box
ford,rating-box
cfra,
marketEdge opinion,
newConstructs since,2022-11-28 00:00:00
researchTeam since,2021-08-06 00:00:00
theStreet since,2022-10-11 00:00:00
ford since,2020-07-24 00:00:00
cfra since,
marketEdge opinion since,
