,FWRG
% Above Low,0.35700000000000004
% Held by Institutions,0.9434
52-Wk Range,['11.57 - 21.49']
Annual Dividend $,
Annual Dividend %,
Ask,16.24
Ask Size,500.0
B/A Ratio,0.2
B/A Size,100x500
Beta,
Bid,15.0
Bid Size,100.0
Closing Price,15.7
Day Change $,0.69
Day Change %,0.046
Day High,16.07
Day Low,15.08
Dividend Pay Date,No dividend
"EPS (TTM, GAAP)",-0.17
Ex-dividend Date,No dividend
Historical Volatility,0.534
Last (size),20.0
Last (time),1:00p ET 11/25/22
Market Cap,929.4M
"P/E Ratio (TTM, GAAP)",
Prev Close,15.01
Short Interest,0.0451
Today's Open,15.1
Volume,344640.0
Volume 10-day Avg,195955.0
Volume Past Day,(Heavy Day)
Next Earnings Announcement,2023-03-22 00:00:00
Growth Analysts,9.0
Growth 1yr Low Est,-2.75
Growth 1yr High Est,1.875
Growth 1yr Consensus Est,-0.4375
Growth 2yr Low Est,-0.9821428571428572
Growth 2yr High Est,1.1983695652173911
Growth 2yr Consensus Est,0.10811335403726696
Growth 5yr Low Est,-0.9821428571428572
Growth 5yr High Est,1.1983695652173911
Growth 5yr Consensus Est,0.10811335403726702
Growth 5yr Actual/Est,7.9375
Growth 3yr Historic,0.0
Price/Earnings (TTM),
Price/Sales (TTM),1.31455
Price/Book (MRQ),1.78394
Price/Cash Flow (TTM),25.49468
5yr Low,11.57
5yr High,25.46
5yr Avg Return,-0.13675
Short Int Current Month,759790.0
Short Int Prev Month,929726.0
Short Int Pct of Float,0.0450984
Days to Cover,2.42507
Float,58.39916
Shares Outstanding,59.19962
Institutions Holding Shares,125.0
FCF Growth 5yr,-1.445386494061484
EPS Growth 5yr,
Revenue Growth 5yr,
Dividend Growth 5yr,
"Price/Earnings (TTM, GAAP)",
"PEG Ratio (TTM, GAAP)",
Gross Profit Margin (TTM),0.6088
Operating Profit Margin (TTM),0.0203
Net Profit Margin (TTM),0.0039000000000000003
Annual Dividend Yield,
Dividend Change %,
"Dividend Growth Rate, 3 Years",
EPS Growth (MRQ),-0.9832
EPS Growth (TTM),
Revenue Growth (MRQ),0.013000000000000001
Revenue Growth (TTM),
Return On Equity (TTM),0.006500000000000001
Return On Assets (TTM),0.0026000000000000003
Return On Investment (TTM),0.0028000000000000004
Revenue Per Employee (TTM),70704.0
Total Debt/Total Capital (MRQ),0.16329999999999997
Change in Debt/Total Capital Quarter over Quarter,-0.0067
Quick Ratio (MRQ),0.66
Interest Coverage (MRQ),4.04
theStreet,rating-box
researchTeam,rating-box
ford,rating-box
cfra,
newConstructs,rating-box
marketEdge opinion,
theStreet since,2022-11-08 00:00:00
researchTeam since,2022-11-08 00:00:00
ford since,2021-12-31 00:00:00
cfra since,
newConstructs since,
marketEdge opinion since,
