,2021,2022,Q4 2021,Q1 2022,Q2 2022,Q3 2022,Report
high,25.46,18.95,,,,,
low,14.9,11.57,,,,,
change,-0.20190000000000002,-0.0716,,,,,
Date,,,2021-12-26 00:00:00,2022-03-27 00:00:00,2022-06-26 00:00:00,2022-09-25 00:00:00,Balance Sheet
Cash and Short Term Invs,,,52.0,47.0,54.0,49.0,Balance Sheet
"Trade Accts Recvble, Net",,,4.0,3.0,4.0,3.0,Balance Sheet
Other Receivables,,,,,0.0,0.0,Balance Sheet
"Total Receivables, Net",,,4.0,3.0,4.0,3.0,Balance Sheet
Total Inventory,,,4.0,4.0,4.0,4.0,Balance Sheet
Prepaid Expenses,,,6.0,6.0,6.0,4.0,Balance Sheet
Restricted Cash - Current,,,0.0,0.0,0.0,0.0,Balance Sheet
Other Current Assets,,,1.0,1.0,3.0,4.0,Balance Sheet
"Other Curr. Assets, Total",,,2.0,2.0,3.0,4.0,Balance Sheet
Total Current Assets,,,68.0,61.0,70.0,65.0,Balance Sheet
Prop./Plant/Equip. - Gross,,,280.0,291.0,307.0,325.0,Balance Sheet
Accumulated Depreciation,,,-116.0,-123.0,-130.0,-138.0,Balance Sheet
Prop./Plant/Equip. - Net,,,490.0,499.0,521.0,536.0,Balance Sheet
"Goodwill, Net",,,345.0,345.0,345.0,345.0,Balance Sheet
Intangibles - Net,,,143.0,143.0,143.0,143.0,Balance Sheet
Other Long Term Assets,,,1.0,1.0,1.0,1.0,Balance Sheet
Total Assets,,,1047.0,1049.0,1080.0,1090.0,Balance Sheet
Accounts Payable,,,11.0,8.0,7.0,8.0,Balance Sheet
Accrued Expenses,,,75.0,66.0,78.0,77.0,Balance Sheet
Notes Payable/ST Debt,,,2.0,1.0,1.0,0.0,Balance Sheet
Curr. Port. LT Dbt/Cap Ls.,,,3.0,4.0,4.0,6.0,Balance Sheet
Customer Advances,,,5.0,3.0,3.0,2.0,Balance Sheet
Income Taxes Payable,,,,1.0,,,Balance Sheet
"Other Curr. Lblts, Total",,,5.0,4.0,3.0,2.0,Balance Sheet
Total Current Liabilities,,,97.0,83.0,93.0,93.0,Balance Sheet
Long Term Debt,,,100.0,97.0,96.0,95.0,Balance Sheet
Capital Lease Obligations,,,,1.0,1.0,1.0,Balance Sheet
Total Long Term Debt,,,100.0,98.0,97.0,96.0,Balance Sheet
