,FWRG,Industry,Type,Ratio to Industry
"Price/Earnings (TTM, GAAP)",,103.69,Valuation,
Price/Sales (TTM),1.31,5.63,Valuation,0.23268206039076378
Price/Book (MRQ),1.78,8.51,Valuation,0.209165687426557
"PEG Ratio (TTM, GAAP)",,0.48,Valuation,
Gross Profit Margin (TTM),0.6088,0.4058,Profitability,1.5002464268112372
Operating Profit Margin (TTM),0.0203,0.1648,Profitability,0.12317961165048542
Net Profit Margin (TTM),0.0039000000000000003,0.0801,Profitability,0.04868913857677903
Annual Dividend Yield,,0.011200000000000002,Dividend,
Dividend Change %,,0.0563,Dividend,
"Dividend Growth Rate, 3 Years",,0.0311,Dividend,
EPS Growth (MRQ),-0.9832,0.3321,Gowth rates,-2.9605540499849443
EPS Growth (TTM),,2.1422,Gowth rates,
Revenue Growth (MRQ),0.013000000000000001,0.38689999999999997,Gowth rates,0.03360041354355131
Revenue Growth (TTM),,0.7726000000000001,Gowth rates,
Return On Equity (TTM),0.006500000000000001,0.1915,Effectiveness,0.033942558746736295
Return On Assets (TTM),0.0026000000000000003,0.0764,Effectiveness,0.03403141361256545
Return On Investment (TTM),0.0028000000000000004,0.1012,Effectiveness,0.027667984189723323
Revenue Per Employee (TTM),70704.0,286353.0,Effectiveness,0.246912028161046
Total Debt/Total Capital (MRQ),0.16329999999999997,1.1601000000000001,Financial strength,0.14076372726489092
Change in Debt/Total Capital Quarter over Quarter,-0.0067,0.002,Financial strength,-3.35
Quick Ratio (MRQ),0.66,0.8,Financial strength,0.825
Interest Coverage (MRQ),4.04,40.35,Financial strength,0.10012391573729863
