,NWL,Industry,Type,Ratio to Industry
"Price/Earnings (TTM, GAAP)",9.96,7.14,Valuation,1.3949579831932775
Price/Sales (TTM),0.55,7.33,Valuation,0.07503410641200546
Price/Book (MRQ),1.46,2.07,Valuation,0.7053140096618358
"PEG Ratio (TTM, GAAP)",,0.43,Valuation,
Gross Profit Margin (TTM),0.3074,0.3091,Profitability,0.9945001617599483
Operating Profit Margin (TTM),0.08630000000000002,0.1507,Profitability,0.5726609157266093
Net Profit Margin (TTM),0.056600000000000004,0.11320000000000001,Profitability,0.5
Annual Dividend Yield,0.0689,0.016399999999999998,Dividend,4.201219512195123
Dividend Change %,0.0,0.2639,Dividend,0.0
"Dividend Growth Rate, 3 Years",0.0,0.1757,Dividend,0.0
EPS Growth (MRQ),-0.8476,-0.0688,Gowth rates,12.319767441860465
EPS Growth (TTM),-0.050199999999999995,0.16670000000000001,Gowth rates,-0.30113977204559084
Revenue Growth (MRQ),-0.11130000000000001,0.1173,Gowth rates,-0.9488491048593352
Revenue Growth (TTM),-0.0472,0.149,Gowth rates,-0.3167785234899329
Return On Equity (TTM),0.1443,0.38439999999999996,Effectiveness,0.3753902185223726
Return On Assets (TTM),0.038700000000000005,0.135,Effectiveness,0.2866666666666667
Return On Investment (TTM),0.0529,0.1699,Effectiveness,0.3113596233078282
Revenue Per Employee (TTM),311844.0,1633986.0,Effectiveness,0.19084863640202548
Total Debt/Total Capital (MRQ),0.6073,0.29309999999999997,Financial strength,2.071989082224497
Change in Debt/Total Capital Quarter over Quarter,0.0012,-0.0005,Financial strength,-2.4
Quick Ratio (MRQ),0.64,0.53,Financial strength,1.2075471698113207
Interest Coverage (MRQ),3.18,51.09,Financial strength,0.062243100411039344
