,NWL
% Above Low,0.0902
% Held by Institutions,0.9349
52-Wk Range,['12.25 - 26.45']
Annual Dividend $,0.92
Annual Dividend %,0.0689
Ask,13.32
Ask Size,200.0
Ask close,14.17
B/A Ratio,5.0
B/A Size,1000x200
Beta,0.9
Bid,13.25
Bid Size,1000.0
Bid close,12.5
Change Since Close,0.00| |(0.00%)
Closing Price,13.35
Day Change $,
Day Change %,
Day High,
Day Low,
Dividend Pay Date,2022-12-15 00:00:00
"EPS (TTM, GAAP)",1.34
Ex-dividend,2022-11-29 00:00:00
Ex-dividend Date,11/29/22
Historical Volatility,0.425
Last (size),1.0
Last (time),1:00p ET 11/25/22
Last Trade,13.35
Market Cap,5.5B
Market Edge Opinion:,Avoid
"P/E Ratio (TTM, GAAP)",9.96
Prev Close,13.35
Short Interest,0.0506
Today's Open,
Volume,1518.0
Volume 10-day Avg,3753134.0
Volume Past Day,(Light)
Next Earnings Announcement,2023-02-10 00:00:00
Growth Analysts,12.0
Growth 1yr Low Est,
Growth 1yr High Est,
Growth 1yr Consensus Est,
Growth 2yr Low Est,-0.20512820512820518
Growth 2yr High Est,0.043749999999999956
Growth 2yr Consensus Est,-0.08068910256410261
Growth 5yr Low Est,-0.20512820512820518
Growth 5yr High Est,0.043749999999999956
Growth 5yr Consensus Est,-0.08068910256410261
Growth 5yr Actual/Est,-0.029782301044421644
Growth 3yr Historic,0.01742523825172526
Price/Earnings (TTM),9.958
Price/Sales (TTM),0.55332
Price/Book (MRQ),1.46228
Price/Cash Flow (TTM),6.36124
5yr Low,10.44
5yr High,32.58
5yr Avg Return,-0.1024
EPS Growth 5yr,
Revenue Growth 5yr,0.0289447
Dividend Growth 5yr,0.0389505
Short Int Current Month,20830692.0
Short Int Prev Month,19385486.0
Short Int Pct of Float,0.0506318
Days to Cover,4.51625
Float,411.4093
Shares Outstanding,413.6
Institutions Holding Shares,767.0
FCF Growth 5yr,-0.17135016559899804
"Price/Earnings (TTM, GAAP)",9.96
"PEG Ratio (TTM, GAAP)",
Gross Profit Margin (TTM),0.3074
Operating Profit Margin (TTM),0.08630000000000002
Net Profit Margin (TTM),0.056600000000000004
Annual Dividend Yield,0.0689
Dividend Change %,0.0
"Dividend Growth Rate, 3 Years",0.0
EPS Growth (MRQ),-0.8476
EPS Growth (TTM),-0.050199999999999995
Revenue Growth (MRQ),-0.11130000000000001
Revenue Growth (TTM),-0.0472
Return On Equity (TTM),0.1443
Return On Assets (TTM),0.038700000000000005
Return On Investment (TTM),0.0529
Revenue Per Employee (TTM),311844.0
Total Debt/Total Capital (MRQ),0.6073
Change in Debt/Total Capital Quarter over Quarter,0.0012
Quick Ratio (MRQ),0.64
Interest Coverage (MRQ),3.18
newConstructs,rating-box
researchTeam,rating-box
theStreet,rating-box
cfra,
ford,rating-box
marketEdge opinion,
newConstructs since,2022-11-28 00:00:00
researchTeam since,2022-08-20 00:00:00
theStreet since,2022-09-27 00:00:00
cfra since,2021-04-30 00:00:00
ford since,2022-07-15 00:00:00
marketEdge opinion since,
